point,plant,N,topology,scenario,method,RMSEmean,RMSEstd,minSep,safeFailCount,safeEligibleCount,safeFailRate,safeRule,DATA,ACK,Total_w010,Total_w025,Total_w050,airtime,broadcast,AoI,estimatedAoI,saturation,effort,estError,diverged,evaluable,connected,dominated_w_0_10,dominated_w_0_25,dominated_w_0_50,dominated_airtime,dominated_broadcast,sourceExperiment,sourceTag
LINK,di,20,ring2,Moderate,State-event,1.13581367389501,0.0690822334352588,0.32917912104347,0,3,0,EXP08B connected-seed denominator,548.222222222222,0,548.222222222222,548.222222222222,548.222222222222,26314.6666666667,416.511111111111,3.73495382985165,NaN,NaN,NaN,NaN,0,3,3,1,1,1,1,1,EXP08B,exp08b-locked-partial
LINK,di,20,ring2,Moderate,Causal-v3,1.1196636687548,0.0715911498868882,0.329066250413737,0,3,0,EXP08B connected-seed denominator,485.322222222222,315.644444444444,516.886666666666,564.233333333333,643.144444444445,30870.9333333333,670.988888888889,3.57733853062872,4.21283522156875,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08B,exp08b-locked-partial
LINK,di,20,ring2,Stressed,P10,1.12493537019817,0.0695217988646656,0.329399264041029,0,3,0,EXP08B connected-seed denominator,478.4,0,478.4,478.4,478.4,22963.2,209.3,3.62589464123524,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08B,exp08b-locked-partial
LINK,di,20,ring2,Stressed,P20,1.12084053995178,0.0709136637440647,0.329140062116447,0,3,0,EXP08B connected-seed denominator,958.4,0,958.4,958.4,958.4,46003.2,419.3,3.57880891109093,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08B,exp08b-locked-partial
LINK,di,20,ring2,Stressed,State-event,1.16289038349864,0.0662606829206645,0.300069016280041,1,3,0.333333333333333,EXP08B connected-seed denominator,546.133333333333,0,546.133333333333,546.133333333333,546.133333333333,26214.4,415.355555555556,3.9138319961651,NaN,NaN,NaN,NaN,0,3,3,1,1,1,1,1,EXP08B,exp08b-locked-partial
LINK,di,20,ring2,Stressed,Causal-v3,1.12322983693878,0.0707192145021447,0.329695364340964,0,3,0,EXP08B connected-seed denominator,582.577777777778,294.966666666667,612.074444444444,656.319444444444,730.061111111111,35042.9333333333,533.288888888889,3.64617204056918,4.32022356071842,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08B,exp08b-locked-partial
NODE,di,20,ring2,Moderate,P10,0.215210149495751,0.00898352613479936,0.334805462150141,0,3,0,EXP08C matched no-fault eligibility,472.288888888889,0,472.288888888889,472.288888888889,472.288888888889,22669.8666666667,207.633333333333,0.209609193662327,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
NODE,di,20,ring2,Moderate,P20,0.175238619877073,0.00972463213293689,0.35586476180957,0,3,0,EXP08C matched no-fault eligibility,946.155555555556,0,946.155555555556,946.155555555556,946.155555555556,45415.4666666667,415.966666666667,0.170844434352608,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
NODE,di,20,ring2,Moderate,State-event,0.334291743366223,0.00566385042743599,0.270532187479752,0,3,0,EXP08C matched no-fault eligibility,190.055555555555,0,190.055555555555,190.055555555555,190.055555555555,9122.66666666667,85.9222222222222,0.329643379755778,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08C,exp08c-locked-partial
NODE,di,20,ring2,Moderate,Causal-v3,0.198147962991779,0.00964125074309167,0.349444457316693,0,3,0,EXP08C matched no-fault eligibility,626.388888888889,500.5,676.438888888889,751.513888888889,876.638888888889,42078.6666666667,1000.16666666667,0.1941313452417,0.278104593909862,NaN,NaN,NaN,0,3,3,0,0,0,0,1,EXP08C,exp08c-locked-partial
