seed,method,topology,N,scenario,RMSE,AOI,MINEVAL,NDATA,NACK,MISSION,VIOL,FORMFAIL,SAFEFAIL,numEdges,meanDegree,minDegree,lambda2,nChannels
3,State-event,sparse4,10,Stressed,0.46117449377024,0.447293369663942,0.00216119725818872,4634,0,30,0,1,1,23,4.6,4,2.06456766802997,41
1,Causal-v3,sparse4,10,Stressed,0.211618779459856,0.190998205622383,0.33692707735426,21553,12824,30,0,1,0,23,4.6,4,2.06456766802997,41
2,Causal-v3,sparse4,10,Stressed,0.209475699026827,0.189423140825414,0.341511808356268,21560,12930,30,0,1,0,23,4.6,4,2.06456766802997,41
3,Causal-v3,sparse4,10,Stressed,0.210302720573762,0.190983584767728,0.337779148285629,21569,12826,30,0,1,0,23,4.6,4,2.06456766802997,41
1,P10,sparse6,10,Stressed,0.278341585168437,0.23724795640327,0.279728318463112,17700,0,30,0,1,0,31,6.2,6,4.38196601125011,59
2,P10,sparse6,10,Stressed,0.275163077333579,0.234355362613341,0.283036903186876,17700,0,30,0,1,0,31,6.2,6,4.38196601125011,59
3,P10,sparse6,10,Stressed,0.277576859934291,0.237381887036438,0.28106276400486,17700,0,30,0,1,0,31,6.2,6,4.38196601125011,59
1,P20,sparse6,10,Stressed,0.207682848172341,0.178483504980064,0.360019719026286,35400,0,30,0,1,0,31,6.2,6,4.38196601125011,59
2,P20,sparse6,10,Stressed,0.208307381922806,0.179099278006127,0.359481957299515,35400,0,30,0,1,0,31,6.2,6,4.38196601125011,59
3,P20,sparse6,10,Stressed,0.208392339667322,0.179185486229776,0.35933756575449,35400,0,30,0,1,0,31,6.2,6,4.38196601125011,59
1,State-event,sparse6,10,Stressed,0.485076318871248,0.447673609507535,0.0347689272457068,6551,0,30,0,1,1,31,6.2,6,4.38196601125011,59
2,State-event,sparse6,10,Stressed,0.49498632714136,0.459648547545375,0.0585078995352667,6557,0,30,0,1,1,31,6.2,6,4.38196601125011,59
3,State-event,sparse6,10,Stressed,0.488420565802851,0.454990224603211,0.0445471294486829,6530,0,30,0,1,1,31,6.2,6,4.38196601125011,59
1,Causal-v3,sparse6,10,Stressed,0.22226501939978,0.190539417170831,0.345127063134208,30953,18505,30,0,1,0,31,6.2,6,4.38196601125011,59
2,Causal-v3,sparse6,10,Stressed,0.222304984064281,0.190474761003094,0.341124511734145,30972,18516,30,0,1,0,31,6.2,6,4.38196601125011,59
3,Causal-v3,sparse6,10,Stressed,0.22232454078764,0.190822056989793,0.340752253755867,30976,18358,30,0,1,0,31,6.2,6,4.38196601125011,59
1,P10,geometric,10,Stressed,0.156417150209695,0.239937211230897,0.405817325363429,6900,0,30,0,1,0,14,2.8,1,0.925007400072462,23
2,P10,geometric,10,Stressed,0.154249222509606,0.236533191170082,0.413224225359503,6900,0,30,0,1,0,14,2.8,1,0.925007400072462,23
3,P10,geometric,10,Stressed,0.150183453206734,0.231671997788572,0.409577960285102,6900,0,30,0,1,0,14,2.8,1,0.925007400072462,23
1,P20,geometric,10,Stressed,0.115143983016632,0.177968250207321,0.454118504104883,13800,0,30,0,1,0,14,2.8,1,0.925007400072462,23
2,P20,geometric,10,Stressed,0.115767585958468,0.178768313390988,0.457713092956768,13800,0,30,0,1,0,14,2.8,1,0.925007400072462,23
