scenario,scenarioLabel,originalMacType,arm,methodLabel,armKind,schedulerMode,n,nEligible,meanRMSE,safeFailures,divergences,meanOfferedUtil,meanTrueAoI,meanNodeGoodputHz,minNodeGoodputHz,meanMaxStarvationSec,meanMaxVirtualDeficit,meanCollisions,meanEndogenousCollisions,priorityDiffersFifo,fifoComparableDecisions,priorityDiffersFifoFraction
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,periodic-tdma-p12p5,Periodic TDMA 12.5 Hz,periodic-frontier,round-robin,30,30,0.0613444825091473,0,0,0.25,0.0850178735949879,10.6238888888889,8.68611111111111,0.443333333333334,46.5666666666667,0,0,0,0,0
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,periodic-tdma-p6p25,Periodic TDMA 6.25 Hz,periodic-frontier,round-robin,30,30,0.103017490172254,0,0,0.125,0.155742767643265,5.31388888888889,4.29722222222222,0.725333333333334,24,0,0,0,0,0
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,periodic-tdma-p8p333,Periodic TDMA 8.333 Hz,periodic-frontier,round-robin,30,30,0.0814865230358363,0,0,0.166666666666667,0.119946932006633,7.05888888888889,5.73055555555556,0.6,32,0,0,0,0,0
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,capacity-gated-selector,Capacity-gated fixed feedback route,negative-control,native,30,30,0.109975330624105,0,0,0.754644444444398,0.164531048461397,7.015,5.10277777777778,0.793433333333333,154.5,1768.1,293.4,0,0,0
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,collision-free-tdma-piggyback,Collision-free TDMA piggyback,scheduled-causal,round-robin,30,30,0.0828305278607625,0,0,0.644999999999966,0.121422517044407,9.565,6.96388888888889,0.581033333333333,108.033333333333,1263.26666666667,0,0,0,0
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,frame-piggyback,Frame-aware piggyback,baseline,native,30,30,0.109975330624105,0,0,0.754644444444398,0.164531048461397,7.015,5.10277777777778,0.793433333333333,154.5,1768.1,293.4,0,0,0
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,oracle-deficit-maxweight-piggyback,Oracle deficit max-weight piggyback,oracle,deficit-maxweight,30,30,0.0795082086183732,0,0,0.650955555555521,0.115549659111848,9.52111111111111,6.57777777777778,0.589766666666667,104.133333333333,1280.26666666667,0,25930,36894,0.70282430747547
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,oracle-urgency-maxweight-piggyback,Oracle urgency max-weight piggyback,oracle,urgency-maxweight,30,30,0.0795802635272318,0,0,0.652511111111076,0.115583563663165,9.48666666666667,6.66944444444444,0.566933333333333,107.1,1284.56666666667,0,21263,36952,0.575422169300714
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,periodic-tdma-p10,Periodic TDMA 10 Hz,periodic-frontier,round-robin,30,30,0.114931517431799,0,0,0.416933333333324,0.174016952275659,6.10166666666666,4.83888888888889,0.8411,62.5,819.8,0,0,0,0
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,periodic-tdma-p12p5,Periodic TDMA 12.5 Hz,periodic-frontier,round-robin,30,30,0.0989554776741481,0,0,0.523055555555535,0.148012529942878,7.62333333333333,6.06111111111111,0.7126,77.7333333333333,1030.53333333333,0,0,0,0
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,periodic-tdma-p6p25,Periodic TDMA 6.25 Hz,periodic-frontier,round-robin,30,30,0.169982692210631,24,0,0.261611111111111,0.275166390270868,3.79833333333333,3.05,1.1625,38.7666666666667,516.2,0,0,0,0
n5-stressed-bg30,N5 Stressed bg0.30 CSMA,csma,periodic-tdma-p8p333,Periodic TDMA 8.333 Hz,periodic-frontier,round-robin,30,30,0.137675669577183,5,0,0.348377777777776,0.209156440022112,5.07722222222222,3.975,0.920266666666667,52.7333333333333,684.666666666667,0,0,0,0
