scenario,component,armA,armB,metric,favorableDirection,meanA,meanB,differenceAminusB,ci95Lo,ci95Hi,nPairs,complete,favorableInterval
n5-moderate-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,OFFERED_UTIL,lower,0.59037777777775,0.588788888888861,0.00158888888888869,-0.00252821569453394,0.00570599347231132,30,1,0
n5-moderate-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_TRUE_AOI,lower,0.092758061544131,0.0965749032614704,-0.00381684171733931,-0.00561522286380492,-0.00201846057087369,30,1,1
n5-moderate-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_NODE_GOODPUT_HZ,higher,9.785,9.87722222222222,-0.0922222222222264,-0.155535961582519,-0.0289084828619334,30,1,0
n5-moderate-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MIN_NODE_GOODPUT_HZ,higher,7.79166666666667,8.28611111111111,-0.494444444444444,-0.671025310740944,-0.317863578147945,30,1,0
n5-moderate-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MAX_STARVATION_SEC,lower,0.426733333333333,0.435766666666667,-0.00903333333333317,-0.0458711613797533,0.027804494713087,30,1,0
n5-moderate-bg30,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,RMSE,lower,0.0664054695818824,0.0689844324336773,-0.00257896285179483,-0.00343813616232106,-0.00171978954126861,30,1,1
n5-moderate-bg30,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,OFFERED_UTIL,lower,0.58096666666664,0.588788888888861,-0.00782222222222147,-0.0119902720733404,-0.00365417237110258,30,1,1
n5-moderate-bg30,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_TRUE_AOI,lower,0.0926172839506172,0.0965749032614704,-0.0039576193108532,-0.00586663088902772,-0.00204860773267868,30,1,1
n5-moderate-bg30,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_NODE_GOODPUT_HZ,higher,9.62166666666667,9.87722222222222,-0.255555555555556,-0.319008364344396,-0.192102746766717,30,1,0
n5-moderate-bg30,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MIN_NODE_GOODPUT_HZ,higher,7.94444444444444,8.28611111111111,-0.341666666666667,-0.523173830291436,-0.160159503041897,30,1,0
