seed,variant,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL
6,A2 AoI-fixed,Moderate,0.113883582463265,0.159503482253802,0.45975277396667,0.184809264305177,7.46388888888889,0.802009676218831,0,0,1,0
7,A2 AoI-fixed,Moderate,0.110504970455142,0.145187310957684,0.46485970410816,0.181365425370875,7.44444444444444,0.80410447761194,0,0,1,0
8,A2 AoI-fixed,Moderate,0.11424352389525,0.151259399507443,0.460419621766243,0.184810778080533,7.44722222222222,0.801566579634465,0,0,1,0
9,A2 AoI-fixed,Moderate,0.112280388379421,0.166903012327995,0.457931837408618,0.182034514078111,7.48611111111111,0.807421150278293,0,0,1,0
10,A2 AoI-fixed,Moderate,0.112334394577048,0.155862408459808,0.466537679621637,0.184916742355434,7.47777777777778,0.800520059435364,0,0,1,0
11,A2 AoI-fixed,Moderate,0.115487355818189,0.162989046399628,0.457488980842491,0.187989706327581,7.48611111111111,0.791836734693877,0,0,1,0
12,A2 AoI-fixed,Moderate,0.112037717672314,0.155226237530321,0.451758898269717,0.182662730850742,7.48333333333333,0.804751299183371,0,0,1,0
13,A2 AoI-fixed,Moderate,0.112837405303877,0.149675228400164,0.454926985396345,0.182570390554042,7.475,0.806020066889632,0,0,1,0
14,A2 AoI-fixed,Moderate,0.112136312650734,0.147295293969693,0.459931378607309,0.184533757190433,7.45277777777778,0.80096906448006,0,0,1,0
15,A2 AoI-fixed,Moderate,0.11222290727391,0.150581380397926,0.462336672557424,0.181855888586134,7.45833333333333,0.805959031657356,0,0,1,0
16,A2 AoI-fixed,Moderate,0.110986295749833,0.145343002600146,0.464427885569931,0.183844989403572,7.45277777777778,0.804323518449497,0,0,1,0
17,A2 AoI-fixed,Moderate,0.114320534212943,0.152993696675448,0.456566386921986,0.185563124432334,7.46944444444444,0.803272592041651,0,0,1,0
18,A2 AoI-fixed,Moderate,0.110118635459266,0.149206428832712,0.458415400646343,0.181039963669391,7.44722222222222,0.811264453562104,0,0,1,0
19,A2 AoI-fixed,Moderate,0.114445181093845,0.158085094998569,0.464044414708752,0.185165001513775,7.47777777777778,0.802748885586924,0,0,1,0
20,A2 AoI-fixed,Moderate,0.114866682857038,0.16179672264436,0.459794356942785,0.185264910687254,7.47777777777778,0.807949479940565,0,0,1,0
1,A3 AoI-adaptive,Moderate,0.103045045216541,0.134774115793127,0.475731122530724,0.168042688465032,8.44722222222222,0.797435054258468,0,0,1,0
2,A3 AoI-adaptive,Moderate,0.104784680336049,0.137367660073064,0.465261640195947,0.169597335755374,8.46388888888889,0.790285526747621,0,0,1,0
3,A3 AoI-adaptive,Moderate,0.104799710131661,0.141133309631832,0.464755512335113,0.169871329094762,8.44444444444444,0.800328947368421,0,0,1,0
4,A3 AoI-adaptive,Moderate,0.104018618871312,0.134434904532301,0.468481560267527,0.168711777172268,8.44722222222222,0.789871752712923,0,0,1,0
5,A3 AoI-adaptive,Moderate,0.103253970212248,0.135598221965198,0.46729092383513,0.166699969724493,8.45,0.803747534516765,0,0,1,0
6,A3 AoI-adaptive,Moderate,0.104510392547613,0.141112826554422,0.459848170145827,0.168113835906751,8.44722222222222,0.803025320618218,0,0,1,0
7,A3 AoI-adaptive,Moderate,0.102423979326398,0.138708568358918,0.464633892692306,0.165326975476839,8.45,0.805391190006575,0,0,1,0
8,A3 AoI-adaptive,Moderate,0.10322666826869,0.135723603800629,0.470177219458472,0.168080532848925,8.43611111111111,0.797826802765887,0,0,1,0
9,A3 AoI-adaptive,Moderate,0.102093558675831,0.139965368774211,0.472940062358563,0.166362397820163,8.44722222222222,0.806642551792174,0,0,1,0
10,A3 AoI-adaptive,Moderate,0.103393565588585,0.14222413228504,0.474040443437439,0.168648198607327,8.44444444444444,0.800328947368421,0,0,1,0
11,A3 AoI-adaptive,Moderate,0.105900290893016,0.143029198419106,0.468594745079657,0.17103693611868,8.42222222222222,0.7938654353562,0,0,1,0
12,A3 AoI-adaptive,Moderate,0.10294783157454,0.135600151894599,0.46641015280007,0.166742355434454,8.46388888888889,0.80341319330489,0,0,1,0
13,A3 AoI-adaptive,Moderate,0.102459264679441,0.134042426153838,0.472331682239472,0.16765970330003,8.43611111111111,0.80013170892328,0,0,1,0
14,A3 AoI-adaptive,Moderate,0.103719814385968,0.137834419709644,0.472119551514549,0.168667877686951,8.45833333333333,0.798357963875205,0,0,1,0
15,A3 AoI-adaptive,Moderate,0.102138906699137,0.140914345174488,0.467456161484773,0.166913412049652,8.43611111111111,0.803424432005268,0,0,1,0
16,A3 AoI-adaptive,Moderate,0.103046268504623,0.13687695080045,0.472069937049995,0.166147441719649,8.46388888888889,0.804725959960617,0,0,1,0
17,A3 AoI-adaptive,Moderate,0.103651093201086,0.136137392864231,0.470907235444748,0.167193460490463,8.44166666666667,0.806515301085884,0,0,1,0
18,A3 AoI-adaptive,Moderate,0.102446082232383,0.138786932705688,0.464513167381327,0.166407811080836,8.43333333333333,0.807971014492754,0,0,1,0
19,A3 AoI-adaptive,Moderate,0.103473310736676,0.137166587716199,0.464403311962467,0.168711777172268,8.45833333333333,0.804597701149425,0,0,1,0
20,A3 AoI-adaptive,Moderate,0.104037426854689,0.139571034883287,0.464486251452127,0.169562518922192,8.43888888888889,0.802501645819618,0,0,1,0
1,A4 Full-ACK,Moderate,0.0974213286839755,0.125154433294052,0.475484648960147,0.158424159854677,11.2583333333333,0.795706883789785,3219,0,0,0
2,A4 Full-ACK,Moderate,0.0977091270061108,0.128696725843729,0.475686296814258,0.158275809869815,11.2583333333333,0.797680730323217,3223,0,0,0
3,A4 Full-ACK,Moderate,0.0978028304721757,0.126565027455421,0.476407506579365,0.158253103239479,11.2361111111111,0.801977750309024,3233,0,0,0
4,A4 Full-ACK,Moderate,0.0983134677671265,0.126119319547714,0.47530899870666,0.159333938843476,11.3638888888889,0.789538010266439,3224,0,0,0
5,A4 Full-ACK,Moderate,0.0975014006039878,0.126343096394018,0.475013656497118,0.157705116560702,11.1722222222222,0.803580308304326,3227,0,0,0
6,A4 Full-ACK,Moderate,0.0978594253738567,0.126591142730811,0.473920749745392,0.157668785952165,11.1555555555556,0.80253984063745,3215,0,0,0
7,A4 Full-ACK,Moderate,0.0963736548988039,0.123159870344288,0.480247353385666,0.156554647290342,11.1388888888889,0.807980049875312,3235,0,0,0
8,A4 Full-ACK,Moderate,0.0977108318061384,0.127248630119977,0.47931649223034,0.158487738419618,11.2305555555556,0.797427652733119,3217,0,0,0
