seed,scenario,scenarioLabel,N,candidateCount,admittedCandidateCount,eligibleCandidateCount,ACK_STANDALONE,ACK_ENTRIES_DELIVERED,ADAPTIVE_ACK_PERMITTED,DIVERGED,INVARIANT_VIOLATIONS,MAX_QUEUE,MAX_HISTORY,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
16019043,n5-csma,N5 CSMA,5,59,59,19,59,743,59,0,0,2,32,666568004413,21193321356,152862128
16019043,n10-ring2,N10 ring2,10,76,76,36,76,1648,76,0,0,2,32,2585611151993,84916744614,161813404
16019043,n20-ring2,N20 ring2,20,0,0,0,0,1875,0,0,0,1,32,10199237430030,339864442169,187625268
16019043,n5-aloha,N5 ALOHA,5,332,332,108,332,413,332,0,0,2,32,666568004413,21193321356,153304636
16019044,n5-csma,N5 CSMA,5,63,63,28,63,758,63,0,0,2,32,666974615763,21190242527,152862130
16019044,n10-ring2,N10 ring2,10,82,82,36,82,1668,82,0,0,2,32,2586365022828,84916075216,161813406
16019044,n20-ring2,N20 ring2,20,0,0,0,0,1915,0,0,0,1,32,10199693742229,339970616145,187625270
16019044,n5-aloha,N5 ALOHA,5,305,305,100,305,373,305,0,0,2,32,666974615763,21190242527,153304638
16019045,n5-csma,N5 CSMA,5,71,71,26,71,747,71,0,0,2,32,666507765865,21194358291,152862132
16019045,n10-ring2,N10 ring2,10,81,81,31,81,1699,81,0,0,2,32,2585310934916,84921584045,161813408
16019045,n20-ring2,N20 ring2,20,0,0,0,0,1905,0,0,0,1,32,10200179690246,339919802257,187625272
16019045,n5-aloha,N5 ALOHA,5,331,331,109,330,440,331,0,0,2,32,666507765865,21194358291,153304640
16019046,n5-csma,N5 CSMA,5,57,57,25,57,742,57,0,0,2,32,667342829842,21205002006,152862134
16019046,n10-ring2,N10 ring2,10,81,81,27,81,1670,81,0,0,2,32,2587106105714,84934161194,161813410
16019046,n20-ring2,N20 ring2,20,0,0,0,0,1911,0,0,0,1,32,10201146086478,339919540138,187625274
16019046,n5-aloha,N5 ALOHA,5,279,279,87,279,380,279,0,0,2,32,667342829842,21205002006,153304642
16019047,n5-csma,N5 CSMA,5,64,64,24,64,746,64,0,0,2,32,666863955668,21188669107,152862136
16019047,n10-ring2,N10 ring2,10,65,65,29,65,1662,65,0,0,2,32,2585995492796,84899465723,161813412
