cell,contrast,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n10-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,CHANNEL_UTIL,0.619208333333388,0.621298611111165,-0.336436898521148,-0.00209027777777733,-0.0059450084842648,0.00176445292871013,12,0,1
n10-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,COLLISION_FRAMES,885.5,867.75,2.04552002304811,17.75,-24.0310746085063,59.5310746085063,12,0,1
n10-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,DATA_ATTEMPTED,1912.83333333333,1911.91666666667,0.0479449069432863,0.916666666666667,-31.2723731365781,33.1057064699114,12,0,1
n10-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,ACK_ATTEMPTED,829.25,829,0.0301568154402895,0.25,-15.9513607338909,16.4513607338909,12,0,1
n20-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,RMSE,0.198578935999754,0.206185068331483,-3.68898310303482,-0.00760613233172925,-0.0112834188035779,-0.00392884585988056,12,0,0
n20-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,MEAN_TRUE_AOI,0.158466544091139,0.165090669839211,-4.01241678558989,-0.00662412574807125,-0.0116439823375452,-0.00160426915859726,12,0,0
n20-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,OFFERED_UTIL,1.1465763888888,1.15468055555547,-0.701853567003983,-0.0081041666666675,-0.0156427188372585,-0.000565614496076461,12,0,0
n20-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,CHANNEL_UTIL,0.812673611111096,0.82001388888887,-0.895140664961172,-0.00734027777777382,-0.00937601358104188,-0.00530454197450576,12,0,0
n20-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,COLLISION_FRAMES,1794.5,1983.25,-9.51720660531955,-188.75,-218.991710121738,-158.508289878262,12,0,0
n20-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,DATA_ATTEMPTED,3439.33333333333,3371.08333333333,2.02457172521197,68.25,45.2804251390071,91.2195748609929,12,0,0
n20-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,ACK_ATTEMPTED,0.916666666666667,301.583333333333,-99.6960486322188,-300.666666666667,-310.837393931681,-290.495939401653,12,0,0
n20-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,RMSE,0.198578935999754,0.24316593312336,-18.3360376804866,-0.0445869971236061,-0.0489121949721517,-0.0402617992750604,12,0,0
n20-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,MEAN_TRUE_AOI,0.158466544091139,0.195598276732282,-18.9836706444837,-0.0371317326411421,-0.0419305356737863,-0.0323329296084978,12,0,0
n20-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,OFFERED_UTIL,1.1465763888888,1.10390277777769,3.86570375309825,0.0426736111111083,0.0318891284135233,0.0534580938086933,12,0,0
n20-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,CHANNEL_UTIL,0.812673611111096,0.790388888888886,2.8194629928993,0.0222847222222102,0.0196182161772877,0.0249512282671326,12,0,0
n20-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,COLLISION_FRAMES,1794.5,1687.58333333333,6.33548960545159,106.916666666667,56.6669550929048,157.166378240429,12,0,0
n20-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,DATA_ATTEMPTED,3439.33333333333,3311.16666666667,3.8707404238184,128.166666666667,95.7952957943996,160.538037538934,12,0,0
n20-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,ACK_ATTEMPTED,0.916666666666667,1.16666666666667,-21.4285714285714,-0.25,-1.15363939562721,0.653639395627211,12,0,1
n20-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,RMSE,0.198578935999754,0.509067156587321,-60.9916032825639,-0.310488220587567,-0.320835872032861,-0.300140569142273,12,0,0
n20-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,MEAN_TRUE_AOI,0.158466544091139,0.535016403489796,-70.3809933569333,-0.376549859398657,-0.400668280676863,-0.35243143812045,12,0,0
n20-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,OFFERED_UTIL,1.1465763888888,2.84721527777802,-59.7299017802548,-1.70063888888922,-1.72270522496199,-1.67857255281645,12,0,0
n20-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,CHANNEL_UTIL,0.812673611111096,0.977756944444338,-16.8838824690792,-0.165083333333242,-0.168276265965746,-0.161890400700738,12,0,0
n20-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,COLLISION_FRAMES,1794.5,8141.25,-77.9579302932596,-6346.75,-6423.87167268886,-6269.62832731114,12,0,0
n20-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,DATA_ATTEMPTED,3439.33333333333,8501.75,-59.5455837523647,-5062.41666666667,-5130.20117249841,-4994.63216083493,12,0,0
n20-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,ACK_ATTEMPTED,0.916666666666667,146.583333333333,-99.3746446844798,-145.666666666667,-153.249271971752,-138.084061361581,12,0,0
n20-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,RMSE,0.24316593312336,0.198578935999754,22.4530345573316,0.0445869971236061,0.0402617992750604,0.0489121949721517,12,0,0
n20-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,MEAN_TRUE_AOI,0.195598276732282,0.158466544091139,23.4319066236381,0.0371317326411421,0.0323329296084978,0.0419305356737863,12,0,0
n20-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,OFFERED_UTIL,1.10390277777769,1.1465763888888,-3.72182887460861,-0.0426736111111083,-0.0534580938086933,-0.0318891284135233,12,0,0
n20-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,CHANNEL_UTIL,0.790388888888886,0.812673611111096,-2.74214911343586,-0.0222847222222102,-0.0249512282671326,-0.0196182161772877,12,0,0
n20-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,COLLISION_FRAMES,1687.58333333333,1794.5,-5.95801987554565,-106.916666666667,-157.166378240429,-56.6669550929048,12,0,0
n20-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,DATA_ATTEMPTED,3311.16666666667,3439.33333333333,-3.72649738321381,-128.166666666667,-160.538037538934,-95.7952957943996,12,0,0
n20-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,ACK_ATTEMPTED,1.16666666666667,0.916666666666667,27.2727272727273,0.25,-0.653639395627211,1.15363939562721,12,0,1
