seed,method,fault,topology,scenario,RMSE,MINEVAL,PEAKERR,RECOVERY,PEAKAOI,NDATA,NACK,MISSION,SAFEFAIL,MINSEPFAULT,TXFAULT,CONNECTED,ISOLATED,LAMBDA2
8,P20,none,ring2,Stressed,0.20433815831501,0.374280959766018,0.276712876074183,NaN,0.224166666666667,28800,0,30,0,0.374280959766018,960,1,0,0.498132719947257
9,P20,none,ring2,Stressed,0.204133548622233,0.374879310279767,0.278303003371769,NaN,0.222083333333333,28800,0,30,0,0.374879310279767,960,1,0,0.498132719947257
10,P20,none,ring2,Stressed,0.204507224512001,0.373441336717858,0.279524383167489,NaN,0.23125,28800,0,30,0,0.373441336717858,960,1,0,0.498132719947257
11,P20,none,ring2,Stressed,0.203598721894373,0.378264173393662,0.276273153884838,NaN,0.218333333333333,28800,0,30,0,0.378264173393662,960,1,0,0.498132719947257
12,P20,none,ring2,Stressed,0.204048430805472,0.377844071363445,0.273953575022314,NaN,0.226666666666667,28800,0,30,0,0.377844071363445,960,1,0,0.498132719947257
13,P20,none,ring2,Stressed,0.20444134320155,0.37255230802061,0.285161980482768,NaN,0.220416666666668,28800,0,30,0,0.37255230802061,960,1,0,0.498132719947257
14,P20,none,ring2,Stressed,0.205745928553983,0.375015076356845,0.276956818070924,NaN,0.227916666666666,28800,0,30,0,0.375015076356845,960,1,0,0.498132719947257
15,P20,none,ring2,Stressed,0.205188120130226,0.377042495964798,0.278819452082953,NaN,0.224583333333332,28800,0,30,0,0.377042495964798,960,1,0,0.498132719947257
16,P20,none,ring2,Stressed,0.205432306568116,0.367500605618055,0.276628432681046,NaN,0.2325,28800,0,30,0,0.367500605618055,960,1,0,0.498132719947257
17,P20,none,ring2,Stressed,0.204869116239937,0.376831706247234,0.276704996294155,NaN,0.22125,28800,0,30,0,0.376831706247234,960,1,0,0.498132719947257
18,P20,none,ring2,Stressed,0.205445477378334,0.368774768394092,0.279268982912764,NaN,0.23041666666667,28800,0,30,0,0.368774768394092,960,1,0,0.498132719947257
19,P20,none,ring2,Stressed,0.203008448517169,0.37881744628901,0.274539140147229,NaN,0.21875,28800,0,30,0,0.37881744628901,960,1,0,0.498132719947257
20,P20,none,ring2,Stressed,0.204021460342341,0.372467418824635,0.278155306491306,NaN,0.21875,28800,0,30,0,0.372467418824635,960,1,0,0.498132719947257
1,State-event,none,ring2,Stressed,0.473810567635491,0.0715029156576362,0.796227088568313,NaN,0.672499999999999,5395,0,30,1,0.0715029156576362,171.590909090909,1,0,0.498132719947257
2,State-event,none,ring2,Stressed,0.468966289541486,0.125769372276573,0.795603839202635,NaN,0.602083333333332,5403,0,30,1,0.125769372276573,173.545454545455,1,0,0.498132719947257
3,State-event,none,ring2,Stressed,0.473353566036679,0.125954497496981,0.781387292456842,NaN,0.652916666666667,5398,0,30,1,0.125954497496981,173.363636363636,1,0,0.498132719947257
4,State-event,none,ring2,Stressed,0.451254296196308,0.0211370673758491,0.611366887112441,NaN,0.602916666666667,5435,0,30,1,0.0211370673758491,173.727272727273,1,0,0.498132719947257
