seed,arm,kind,condition,dataLoss,controlLoss,traceHash,geometryHash,selectorHash,scheduleHash,kernelTraceHash,kernelStateHash,interferenceEventHash,RMSE,MINSEP,SAFEFAIL,DIVERGED,TOTAL_COST,DATA_AIRTIME,MANAGEMENT_AIRTIME,DATA_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,BACKGROUND_COLLISION_FRAMES,graphAdmissible,graphLocalOnly,graphAddedEdges,graphRemovedEdges,oldSlot,newSlot,eventFrame,eligibleFrame,reacquired,firstReacquiredFrame,finalSuppressed,controlAttempts,controlBytes,controlAirtime,expectedControlAttempts,expectedControlAirtime,expectedDataSuccess,expectedDataErasure,expectedDataCollision,observedDataSuccess,observedDataErasure,observedDataCollision,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,suppressionHash,reacquisitionHash,revokeBlackout,responseBlackout,geometryCoupledToPlant
16086008,migration-iid20-response-blackout,migration,iid20,0.2,0.2,1163205,2363678,564740,1124843407,19180287233,176424758,509155,0.175591787012709,0.159981778477451,1,0,0.248613333333331,2.62963199999998,0.353728,856,1783,469,0,0,1,1,1,0,7,9,47,50,0,NaN,1,374,11054,0.353728,374,0.353728,1783,469,0,1783,469,0,0,0,0,1,0,0,0,32353,29295,0,1,0
16086009,periodic-zero,periodic,zero,0,0,140680,2363678,564740,NaN,NaN,NaN,509155,0.0631253259158087,0.528748508306653,0,0,0.255999999999998,3.07199999999997,0,1000,2600,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086009,migration-zero,migration,zero,0,0,140680,2363678,564740,3423161865,1830117768,149454640,509155,0.0615469512072459,0.531107390112,0,0,0.243706666666665,2.75558399999997,0.168896,897,2334,0,0,0,1,1,1,0,7,9,47,50,1,50,0,188,5278,0.168896,188,0.168896,2334,0,0,2334,0,0,0,0,0,1,0,0,0,29442,29346,0,0,0
16086009,periodic-iid20,periodic,iid20,0.2,0,140680,2363678,564740,NaN,NaN,NaN,509155,0.0822552081734109,0.509448463990357,0,0,0.255999999999998,3.07199999999997,0,1000,2062,538,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086009,migration-iid20,migration,iid20,0.2,0.2,140680,2363678,564740,1182338470,19357355468,150051156,509155,0.0812605814291447,0.514247209753046,0,0,0.243621333333331,2.75251199999997,0.170944,896,1904,428,0,0,1,1,1,0,7,9,47,50,1,51,0,190,5342,0.170944,190,0.170944,1904,428,0,1904,428,0,0,0,0,1,0,0,0,29493,29347,0,0,0
16086009,migration-iid20-revoke-blackout,migration,iid20,0.2,0.2,140680,2363678,564740,1182886202,19352706129,150051156,509155,0.0812605814291447,0.514247209753046,0,0,0.243621333333331,2.75251199999997,0.170944,896,1904,428,0,0,1,1,1,0,7,9,47,50,1,51,0,190,5342,0.170944,190,0.170944,1904,428,0,1904,428,0,0,0,0,1,0,0,0,29493,29347,1,0,0
16086009,migration-iid20-response-blackout,migration,iid20,0.2,0.2,140680,2363678,564740,1124674233,19158171313,178415457,509155,0.175461767772444,0.1637140199882,1,0,0.249711999999998,2.62963199999998,0.366912,856,1839,413,0,0,1,1,1,0,7,9,47,50,0,NaN,1,386,11466,0.366912,386,0.366912,1839,413,0,1839,413,0,0,0,0,1,0,0,0,32353,29295,0,1,0
16086010,periodic-zero,periodic,zero,0,0,900121,2363678,564740,NaN,NaN,NaN,509155,0.0631421548752544,0.528747225285366,0,0,0.255999999999998,3.07199999999997,0,1000,2600,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086010,migration-zero,migration,zero,0,0,900121,2363678,564740,3431276172,1830117768,149454640,509155,0.0614796588262125,0.531395116094916,0,0,0.243706666666665,2.75558399999997,0.168896,897,2334,0,0,0,1,1,1,0,7,9,47,50,1,50,0,188,5278,0.168896,188,0.168896,2334,0,0,2334,0,0,0,0,0,1,0,0,0,29442,29346,0,0,0
16086010,periodic-iid20,periodic,iid20,0.2,0,900121,2363678,564740,NaN,NaN,NaN,509155,0.0833174987965674,0.511582522532577,0,0,0.255999999999998,3.07199999999997,0,1000,2070,530,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086010,migration-iid20,migration,iid20,0.2,0.2,900121,2363678,564740,1183711920,19349996421,149654697,509155,0.0873700840925157,0.511361624958284,0,0,0.243759999999998,2.75251199999997,0.172608,896,1828,504,0,0,1,1,1,0,7,9,47,50,1,51,0,192,5394,0.172608,192,0.172608,1828,504,0,1828,504,0,0,0,0,1,0,0,0,29493,29347,0,0,0
