armId,methodFamily,method,parameterName,parameterValue,seedCount,failedRuns,formationRMSE_m,dataCost_HzPerChannel,costC2_HzPerChannel,feedbackEligibleCount,feedbackEligibleRate_HzPerChannel,scenarioId,periodicMatchedCost_HzPerChannel,etaCritical,allowableFeedbackFractionRawAt025,allowableFeedbackFractionClippedAt025,eligibility,economicClass
O1L05,Centralized state oracle,centralized_state_oracle,lambda,3e-05,5,0,0.102407783947265,12.3918181818182,14.8695454545455,2180.4,9.91090909090909,S6,12.8284816717523,0.0440588735028007,0.176235494011203,0.176235494011203,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L06,Centralized state oracle,centralized_state_oracle,lambda,0.0001,5,0,0.101890604137895,12.2272727272727,14.6820454545454,2160.2,9.81909090909091,S6,13.1562587369615,0.0946101852289331,0.378440740915732,0.378440740915732,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,5,0,0.102979700619946,11.5572727272728,13.8490909090909,2016.8,9.16727272727273,S6,12.4811213894212,0.100776827485453,0.403107309941813,0.403107309941813,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,5,0,0.112154216744569,7.67090909090909,9.215,1358.8,6.17636363636364,S6,9.65866980146269,0.321833497440236,1.28733398976094,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,5,0,0.144593256262382,4.18181818181818,5.02704545454546,743.8,3.38090909090909,S6,5.54570392734009,0.403407991415462,1.61363196566185,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,5,0,0.222330294997625,2.10818181818182,2.52977272727273,371,1.68636363636364,S6,2.75151346333974,0.381490463435965,1.52596185374386,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,5,0,0.353854989290926,1.14090909090909,1.36772727272727,199.6,0.907272727272727,S6,1.49152467577647,0.386450043441004,1.54580017376402,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,5,0,0.619520786371142,0.518181818181818,0.622954545454545,92.2,0.419090909090909,S6,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,5,0,1.04363001186386,0.189090909090909,0.2275,33.8,0.153636363636364,S6,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,5,0,1.59352391526709,0.0381818181818182,0.0472727272727273,8,0.0363636363636364,S6,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
