seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition,speedScale,accelerationScale,managementRadius
16075019,5,2,0.02,0.02,31910557,14140295,2490,4718028,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075019,5,3,0.3,0.1,31910557,15853980,2490,5076886,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075019,10,1,0.02,0.02,67151116,11420776,40685,6289878,6.8,6,5,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075019,10,2,0.02,0.02,67151116,25871376,36620,4332703,1,3,6,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075019,10,3,0.3,0.1,67151116,25288164,36620,5872363,0.5,2,6,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075020,5,1,0.02,0.02,33413728,4827614,2730,5597235,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075020,5,2,0.02,0.02,33413728,14224192,2450,4484517,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075020,5,3,0.3,0.1,33413728,15937877,2450,6960342,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075020,10,1,0.02,0.02,67254005,11626554,40685,6887178,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075020,10,2,0.02,0.02,67254005,29192874,36153,6109109,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075020,10,3,0.3,0.1,67254005,28609662,36153,5328467,0.25,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075021,5,1,0.02,0.02,35272524,4350914,2730,6697785,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075021,5,2,0.02,0.02,35272524,13381664,2518,6170915,2,4,3,3,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075021,5,3,0.3,0.1,35272524,15095349,2518,5486320,2,4,3,3,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075021,10,1,0.02,0.02,67057500,12282117,40685,6265953,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075021,10,2,0.02,0.02,67057500,26568720,36436,5036869,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075021,10,3,0.3,0.1,67057500,25985508,36436,5176616,0.25,1,3,2,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075022,5,1,0.02,0.02,38506019,4526466,2730,6651863,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075022,5,2,0.02,0.02,38506019,12912691,2518,4340833,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075022,5,3,0.3,0.1,38506019,14626376,2518,5644299,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075022,10,1,0.02,0.02,72145466,11972319,40685,6643862,6.8,6,6,3,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075022,10,2,0.02,0.02,72145466,27721878,36826,5793770,1,3,6,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075022,10,3,0.3,0.1,72145466,27138666,36826,7413033,0.5,2,7,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075023,5,1,0.02,0.02,34879034,4612507,2730,4450086,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075023,5,2,0.02,0.02,34879034,13746067,2484,3302133,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075023,5,3,0.3,0.1,34879034,15459752,2484,6683422,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075023,10,1,0.02,0.02,70092474,12060627,40685,6531071,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
