scenarioId,seed,lambda,time_s,inEventWindow,dataAttempts,scheduledActions,cumulativeScheduledActions,stepMaxValue,predictedSaturationFraction
S2,27020001,0,13.32,1,0,0,1503,0.00189660806868043,0
S2,27020001,0,13.34,1,1,1,1504,0.00222604293119986,0
S2,27020001,0,13.36,1,3,3,1507,0.00252869237313484,0
S2,27020001,0,13.38,1,3,3,1510,0.00276322238187186,0
S2,27020001,0,13.4,1,0,0,1510,0.00311638393418328,0
S2,27020001,0,13.42,1,1,1,1511,0.00344224132072641,0
S2,27020001,0,13.44,1,2,2,1513,0.00198183422198709,0
S2,27020001,0,13.46,1,4,4,1517,0.00199240847381726,0
S2,27020001,0,13.48,1,1,1,1518,0.00232644561406385,0
S2,27020001,0,13.5,1,1,1,1519,0.00264020769982862,0
S2,27020001,0,13.52,1,2,2,1521,0.00290495043304023,0
S2,27020001,0,13.54,1,4,4,1525,0.00182494578958862,0
S2,27020001,0,13.56,1,1,1,1526,0.00206302473883995,0
S2,27020001,0,13.58,1,1,1,1527,0.00230410265636425,0
S2,27020001,0,13.6,1,2,2,1529,0.00253453784831095,0
S2,27020001,0,13.62,1,4,4,1533,0.00132290283751175,0
S2,27020001,0,13.64,1,1,1,1534,0.0016648384304332,0
S2,27020001,0,13.66,1,1,1,1535,0.00197949896306626,0
S2,27020001,0,13.68,1,2,2,1537,0.00197690381451561,0
S2,27020001,0,13.7,1,4,4,1541,0.00182196488037187,0
S2,27020001,0,13.72,1,1,1,1542,0.00206013854152085,0
S2,27020001,0,13.74,1,1,1,1543,0.00230082132744482,0
S2,27020001,0,13.76,1,2,2,1545,0.00252785651222525,0
S2,27020001,0,13.78,1,4,4,1549,0.00199054616678387,0
S2,27020001,0,13.8,1,0,0,1549,0.00214421903617334,0
S2,27020001,0,13.82,1,1,1,1550,0.00229957203987336,0
S2,27020001,0,13.84,1,2,2,1552,0.00240776725300528,0
S2,27020001,0,13.86,1,4,4,1556,0.00254466728456677,0
S2,27020001,0,13.88,1,1,1,1557,0.00270498606676275,0
S2,27020001,0,13.9,1,2,2,1559,0.00192430840519195,0
S2,27020001,0,13.92,1,1,1,1560,0.00195524126835088,0
S2,27020001,0,13.94,1,4,4,1564,0.00128006169656838,0
S2,27020001,0,13.96,1,2,2,1566,0.00159595659070545,0
S2,27020001,0,13.98,1,2,2,1568,0.00188683367408647,0
S2,27020001,0,14,0,1,1,1569,0.00194855888231082,0
S2,27020001,0,14.02,0,4,4,1573,0.0021812361924466,0
S2,27020001,0,14.04,0,1,1,1574,0.00238672227677486,0
S2,27020001,0,14.06,0,1,1,1575,0.0026294270881261,0
S2,27020001,0,14.08,0,1,1,1576,0.00284829911754703,0
S2,27020001,0,14.1,0,4,4,1580,0.00304162996749957,0
S2,27020001,0,14.12,0,1,1,1581,0.00326699076349064,0
S2,27020001,0,14.14,0,2,2,1583,0.00348904361612679,0
S2,27020001,0,14.16,0,2,2,1585,0.00368106203403342,0
S2,27020001,0,14.18,0,4,4,1589,0.0018851868146865,0
S2,27020001,0,14.2,0,1,1,1590,0.00204543187172944,0
S2,27020001,0,14.22,0,2,2,1592,0.00156735538810025,0
S2,27020001,0,14.24,0,2,2,1594,0.00159064791777836,0
S2,27020001,0,14.26,0,4,4,1598,0.00101552781142429,0
S2,27020001,0,14.28,0,1,1,1599,0.00121293297453886,0
S2,27020001,0,14.3,0,2,2,1601,0.00138298121539897,0
S2,27020001,0,14.32,0,2,2,1603,0.00148964682616458,0
S2,27020001,0,14.34,0,4,4,1607,0.0013517014586836,0
S2,27020001,0,14.36,0,1,1,1608,0.00150791991776371,0
S2,27020001,0,14.38,0,2,2,1610,0.00165961829572413,0
S2,27020001,0,14.4,0,2,2,1612,0.00179797036579287,0
S2,27020001,0,14.42,0,4,4,1616,0.00156763234882724,0
S2,27020001,0,14.44,0,1,1,1617,0.00174518678881759,0
S2,27020001,0,14.46,0,3,3,1620,0.00192234996938361,0
S2,27020001,0,14.48,0,2,2,1622,0.00208432020680934,0
S2,27020001,0,14.5,0,4,4,1626,0.00119941320039812,0
S2,27020001,0,14.52,0,1,1,1627,0.00133723920277835,0
S2,27020001,0,14.54,0,3,3,1630,0.00147402282198513,0
S2,27020001,0,14.56,0,2,2,1632,0.0017237086870391,0
S2,27020001,0,14.58,0,4,4,1636,0.00206453195061635,0
S2,27020001,0,14.6,0,1,1,1637,0.00231657742589046,0
S2,27020001,0,14.62,0,3,3,1640,0.00102926071920994,0
S2,27020001,0,14.64,0,2,2,1642,0.00119291356313659,0
S2,27020001,0,14.66,0,4,4,1646,0.00101730154105494,0
S2,27020001,0,14.68,0,1,1,1647,0.0011995162958219,0
S2,27020001,0,14.7,0,3,3,1650,0.00136375641378403,0
S2,27020001,0,14.72,0,2,2,1652,0.00155291607650697,0
S2,27020001,0,14.74,0,4,4,1656,0.0017082262824104,0
S2,27020001,0,14.76,0,1,1,1657,0.00188936445087916,0
S2,27020001,0,14.78,0,3,3,1660,0.00204979574844304,0
S2,27020001,0,14.8,0,2,2,1662,0.00118152598268488,0
S2,27020001,0,14.82,0,4,4,1666,0.00131500261190067,0
S2,27020001,0,14.84,0,1,1,1667,0.00146549577185468,0
S2,27020001,0,14.86,0,3,3,1670,0.00102634108521792,0
S2,27020001,0,14.88,0,2,2,1672,0.00102857931157074,0
S2,27020001,0,14.9,0,4,4,1676,0.00113789755157119,0
S2,27020001,0,14.92,0,1,1,1677,0.0012920265142259,0
S2,27020001,0,14.94,0,3,3,1680,0.00139179425852159,0
S2,27020001,0,14.96,0,2,2,1682,0.00151355700058498,0
S2,27020001,0,14.98,0,4,4,1686,0.00117628081384517,0
S2,27020001,0,19,0,1,1,2187,0.00359948202744614,0
S2,27020001,0,19.02,0,3,3,2190,0.00376592211669367,0
S2,27020001,0,19.04,0,2,2,2192,0.0039872120086012,0
S2,27020001,0,19.06,0,4,4,2196,0.00123016841848798,0
S2,27020001,0,19.08,0,1,1,2197,0.0014728344370484,0
S2,27020001,0,19.1,0,3,3,2200,0.00147754219965115,0
S2,27020001,0,19.12,0,2,2,2202,0.00164526229274504,0
S2,27020001,0,19.14,0,4,4,2206,0.00175905366023315,0
S2,27020001,0,19.16,0,1,1,2207,0.00190457181355453,0
S2,27020001,0,19.18,0,3,3,2210,0.00202485992165061,0
S2,27020001,0,19.2,0,2,2,2212,0.00218457420643253,0
S2,27020001,0,19.22,0,4,4,2216,0.00230871535380081,0
S2,27020001,0,19.24,0,1,1,2217,0.00248774477120139,0
S2,27020001,0,19.26,0,3,3,2220,0.00263839128865969,0
S2,27020001,0,19.28,0,2,2,2222,0.00124917661323593,0
S2,27020001,0,19.3,0,4,4,2226,0.00126897164879167,0
S2,27020001,0,19.32,0,1,1,2227,0.00145900018304304,0
S2,27020001,0,19.34,0,3,3,2230,0.00149649908409915,0
S2,27020001,0,19.36,0,2,2,2232,0.00158689047453506,0
S2,27020001,0,19.38,0,4,4,2236,0.00174819867979145,0
S2,27020001,0,19.4,0,1,1,2237,0.0014636478036628,0
S2,27020001,0,19.42,0,3,3,2240,0.00151006552371661,0
S2,27020001,0,19.44,0,2,2,2242,0.00166753133571401,0
S2,27020001,0,19.46,0,4,4,2246,0.00120837981564293,0
S2,27020001,0,19.48,0,1,1,2247,0.00143955455095543,0
S2,27020001,0,19.5,0,3,3,2250,0.00134095430877832,0
S2,27020001,0,19.52,0,2,2,2252,0.00159718139495785,0
S2,27020001,0,19.54,0,4,4,2256,0.00135401198551315,0
S2,27020001,0,19.56,0,1,1,2257,0.00157488089995595,0
S2,27020001,0,19.58,0,3,3,2260,0.00164118326599154,0
S2,27020001,0,19.6,0,2,2,2262,0.00187422034526797,0
S2,27020001,0,19.62,0,4,4,2266,0.00132475471627386,0
S2,27020001,0,19.64,0,1,1,2267,0.00152600749095522,0
S2,27020001,0,19.66,0,3,3,2270,0.00144265758360825,0
S2,27020001,0,19.68,0,2,2,2272,0.00163531071091542,0
S2,27020001,0,19.7,0,4,4,2276,0.00183679071844038,0
S2,27020001,0,19.72,0,1,1,2277,0.00208484562246136,0
S2,27020001,0,19.74,0,3,3,2280,0.00231410591115962,0
S2,27020001,0,19.76,0,2,2,2282,0.00252148052054299,0
S2,27020001,0,19.78,0,4,4,2286,0.00267571557927,0
S2,27020001,0,19.8,0,1,1,2287,0.00294152475284578,0
S2,27020001,0,19.82,0,3,3,2290,0.00308754167165898,0
S2,27020001,0,19.84,0,2,2,2292,0.00328132958562584,0
S2,27020001,0,19.86,0,4,4,2296,0.00123304637308911,0
S2,27020001,0,19.88,0,1,1,2297,0.00138083178680334,0
S2,27020001,0,19.9,0,3,3,2300,0.00136192670095437,0
S2,27020001,0,19.92,0,2,2,2302,0.00157898214562189,0
S2,27020001,0,19.94,0,4,4,2306,0.00155079625375876,0
S2,27020001,0,19.96,0,1,1,2307,0.00175627409831482,0
S2,27020001,0,19.98,0,3,3,2310,0.00160122325066258,0
S2,27020001,0,20,1,2,2,2312,0.0017580914162741,0
S2,27020001,0,20.02,1,4,4,2316,0.00197393127742366,0
S2,27020001,0,20.04,1,1,1,2317,0.00220638474698225,0
S2,27020001,0,20.06,1,3,3,2320,0.00166722555581358,0
S2,27020001,0,20.08,1,2,2,2322,0.00129630309985181,0
S2,27020001,0,20.1,1,4,4,2326,0.0012250091041906,0
S2,27020001,0,20.12,1,1,1,2327,0.00141942143784822,0
S2,27020001,0,20.14,1,3,3,2330,0.00131186633128751,0
S2,27020001,0,20.16,1,2,2,2332,0.00131753860199099,0
S2,27020001,0,20.18,1,4,4,2336,0.00160881307408635,0
S2,27020001,0,20.2,1,1,1,2337,0.00142415211096654,0
S2,27020001,0,20.22,1,3,3,2340,0.00152378973666723,0
S2,27020001,0,20.24,1,2,2,2342,0.00159033664363069,0
S2,27020001,0,20.26,1,4,4,2346,0.00187157837304646,0
S2,27020001,0,20.28,1,1,1,2347,0.00142292823762536,0
S2,27020001,0,20.3,1,3,3,2350,0.00171742498261304,0
S2,27020001,0,20.32,1,2,2,2352,0.00169556207693943,0
S2,27020001,0,20.34,1,4,4,2356,0.00201441287531627,0
S2,27020001,0,20.36,1,1,1,2357,0.00196109842038129,0
S2,27020001,0,20.38,1,3,3,2360,0.00214132820483415,0
S2,27020001,0,20.4,1,1,1,2361,0.00229244783140616,0
S2,27020001,0,20.42,1,4,4,2365,0.0023776680670655,0
S2,27020001,0,20.44,1,1,1,2366,0.0025008793203687,0
S2,27020001,0,20.46,1,2,2,2368,0.00265178939090299,0
S2,27020001,0,20.48,1,1,1,2369,0.00280322345837248,0
S2,27020001,0,20.5,1,4,4,2373,0.00289678054304773,0
S2,27020001,0,20.52,1,1,1,2374,0.00304456515466694,0
S2,27020001,0,20.54,1,2,2,2376,0.00290399046892526,0
S2,27020001,0,20.56,1,1,1,2377,0.00327520423207118,0
S2,27020001,0,20.58,1,4,4,2381,0.00357346846759655,0
S2,27020001,0,20.6,1,2,2,2383,0.00391759836243269,0
S2,27020001,0,20.62,1,2,2,2385,0.00421066184936044,0
S2,27020001,0,20.64,1,1,1,2386,0.0045666671582144,0
S2,27020001,0,20.66,1,4,4,2390,0.00485374322357564,0
S2,27020001,0,20.68,1,2,2,2392,0.00519702429840265,0
S2,27020001,0,20.7,1,2,2,2394,0.00550644381350377,0
S2,27020001,0,20.72,1,1,1,2395,0.005759603610593,0
S2,27020001,0,20.74,1,4,4,2399,0.00618125094313869,0
