seed,method,fault,topology,N,scenario,RMSE,MINEVAL,PEAKERR,MINSEPBO,RECOVERY,PEAKAOI,TRUEAOI,ESTAOI,SAFEFAIL,DATAPRE,DATADUR,DATAPOST,ACKPRE,ACKDUR,ACKPOST,OUTMEAN,OUTMAX,PROBES,MAXGAP,CONNECTED,ISOLATED,LAMBDA2,DISCDUR
2,State-event,none,sparse4,N20,Moderate,0.458798932355782,0.137627337908367,0.627157400961954,0.137627337908367,NaN,0.396976744186046,0.292624041568975,NaN,1,280,307.5,NaN,0,0,0,NaN,NaN,72,NaN,1,0,0.89697385380051,0
3,State-event,none,sparse4,N20,Moderate,0.455894028153244,0.137574957875063,0.606409460255746,0.137574957875063,NaN,0.381395348837209,0.292949538474537,NaN,1,283.666666666667,307.409090909091,NaN,0,0,0,NaN,NaN,63,NaN,1,0,0.89697385380051,0
1,Causal-v3,none,sparse4,N20,Moderate,0.240234169828725,0.352534879971658,0.333505521566507,0.352534879971658,NaN,0.164418604651161,0.14401389857001,0.224025048998525,0,1031.66666666667,1031.09090909091,NaN,820.666666666667,823.090909090909,NaN,1.99415118603102,9,0,0.16,1,0,0.89697385380051,0
2,Causal-v3,none,sparse4,N20,Moderate,0.24050192774127,0.353285683135136,0.333871237077214,0.353285683135136,NaN,0.165116279069767,0.144283209767019,0.2241844734452,0,1023,1032.63636363636,NaN,827.333333333333,821.590909090909,NaN,1.99708721317571,8,0,0.18,1,0,0.89697385380051,0
3,Causal-v3,none,sparse4,N20,Moderate,0.239489533815645,0.355197294305415,0.332456676654923,0.355197294305415,NaN,0.163953488372092,0.143529349639862,0.223589081696073,0,1027.33333333333,1029.95454545455,NaN,832.666666666667,825.454545454545,NaN,1.98882915265792,11,0,0.16,1,0,0.89697385380051,0
1,P10,1node 2s,sparse4,N20,Moderate,0.267823057932674,0.338368291641724,0.491383117250899,0.424990129685994,3.52,0.403720930232558,0.167151004372346,NaN,0,857.333333333333,780,860,0,0,0,NaN,NaN,NaN,NaN,1,0,0.827456117493261,0
2,P10,1node 2s,sparse4,N20,Moderate,0.266654702155944,0.335635403388808,0.496468072166346,0.394683557915274,2.6,0.392093023255814,0.166881693175337,NaN,0,857.333333333333,780,860,0,0,0,NaN,NaN,NaN,NaN,1,0,0.910573653556176,0
3,P10,1node 2s,sparse4,N20,Moderate,0.264947934987487,0.342266207021949,0.426326034067718,0.384463271147523,2.06,0.402558139534884,0.166568024839997,NaN,0,857.333333333333,780,860,0,0,0,NaN,NaN,NaN,NaN,1,0,0.829850929537972,0
1,P20,1node 2s,sparse4,N20,Moderate,0.206333296708602,0.398815802481409,0.432115462756969,0.467364693900465,3.54,0.348372093023255,0.129167564370657,NaN,0,1717.33333333333,1560,1720,0,0,0,NaN,NaN,NaN,NaN,1,0,0.827456117493261,0
2,P20,1node 2s,sparse4,N20,Moderate,0.203696150957775,0.399619135950221,0.431737946623043,0.43784247506777,2.9,0.333023255813954,0.128191707327377,NaN,0,1717.33333333333,1560,1720,0,0,0,NaN,NaN,NaN,NaN,1,0,0.910573653556176,0
3,P20,1node 2s,sparse4,N20,Moderate,0.202849440463426,0.40019155671066,0.376849266961927,0.430128176779459,2.72,0.346744186046511,0.129004287856705,NaN,0,1717.33333333333,1560,1720,0,0,0,NaN,NaN,NaN,NaN,1,0,0.829850929537972,0
1,State-event,1node 2s,sparse4,N20,Moderate,0.459838329511337,0.140736636944753,0.686779970751499,0.275381506670995,3.24,0.500232558139535,0.302866738482986,NaN,1,303.666666666667,275,308.1875,0,0,0,NaN,NaN,68,NaN,1,0,0.827456117493261,0
2,State-event,1node 2s,sparse4,N20,Moderate,0.464006572966303,0.0997554313392147,0.681845884326105,0.261010065989745,0.220000000000001,0.498837209302325,0.30348879454196,NaN,1,299.666666666667,277,309.625,0,0,0,NaN,NaN,72,NaN,1,0,0.910573653556176,0
3,State-event,1node 2s,sparse4,N20,Moderate,0.464998551705909,0.141043589882806,0.637988945199434,0.200289187486269,0,0.590232558139535,0.310577487696175,NaN,1,303.666666666667,268,308.0625,0,0,0,NaN,NaN,63,NaN,1,0,0.829850929537972,0
1,Causal-v3,1node 2s,sparse4,N20,Moderate,0.248119083691123,0.353148605085643,0.481102733108185,0.436514050600619,3.22,0.366046511627907,0.153380858838688,0.233986328218368,0,1046.66666666667,898.5,1046.375,831.333333333333,727,838.125,2.0032071642161,9,0,2.12,1,0,0.827456117493261,0
2,Causal-v3,1node 2s,sparse4,N20,Moderate,0.246382986635653,0.352373374942716,0.471310004171872,0.406858289527915,2.84,0.340697674418605,0.152733033394588,0.234349634303745,0,1045,915.5,1044.75,842,734,831.125,2.00600374943836,9,0,2.12,1,0,0.910573653556176,0
