seed,family,point,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL,periodicRateHz,epsP
15,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
16,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
17,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
18,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
19,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
20,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
1,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
2,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
3,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
4,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
5,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
6,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
7,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
8,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
9,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
10,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
11,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
12,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
13,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
14,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
15,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
16,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
17,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
18,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
19,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
20,State-event,p6,Clean,0.168272879787424,0.224836908907625,0.380846781244894,0.250030275507114,2.16111111111111,778,1,0,0,1,0,20,0.12
1,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
2,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
3,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
4,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
5,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
6,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
7,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
8,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
9,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
10,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
11,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
12,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
13,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
14,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
15,Full-AoI,p6,Clean,0.0634920474983651,0.0801930989155437,0.520186924977586,0.100033303057826,5.26666666666667,1896,1,1896,0,0,0,20,0.12
