seed,rmseAdaptiveMinusPiggyCsma,rmseAdaptiveMinusPiggyAloha,rmseInteraction,offered_utilAdaptiveMinusPiggyCsma,offered_utilAdaptiveMinusPiggyAloha,offered_utilInteraction
16022082,-0.0001087806711264,-0.0307938087825545,-0.0306850281114281,0.011916666666666,-0.101249999999985,-0.113166666666651
16022083,-0.000366601627106701,-0.0445248838996038,-0.0441582822724971,-0.00716666666666699,-0.0503333333333239,-0.0431666666666569
16022084,0.0017076070183504,-0.0101645051539465,-0.0118721121722969,0.00650000000000001,-0.0387499999999911,-0.0452499999999911
16022085,0.000521645798141804,-0.012261147120038,-0.0127827929181798,0.00183333333333396,-0.109833333333317,-0.111666666666651
16022086,-0.000481795053671505,-0.0038467649866385,-0.00336496993296699,-0.00774999999999998,-0.08333333333332,-0.0755833333333201
16022087,0.001107728382437,0.00344139032489479,0.00233366194245779,-0.00191666666666701,-0.103749999999984,-0.101833333333317
16022088,0.0011355406173678,-0.0697992003959691,-0.0709347410133369,0.00399999999999995,-0.122666666666649,-0.126666666666649
16022089,0.000364012761056395,-0.0178410902250522,-0.0182051029861086,-0.00383333333333397,-0.0319166666666599,-0.028083333333326
16022090,0.000141162365281902,0.016077019418872,0.0159358570535901,0.00283333333333396,-0.0363333333333249,-0.0391666666666589
16022091,0.0014078590218423,-0.0138162044762406,-0.0152240634980829,0.024083333333333,-0.0904999999999869,-0.11458333333332
16022092,0.0001626025416957,-0.0170375489281572,-0.0172001514698529,-0.00366666666666599,-0.174666666666643,-0.170999999999977
16022093,0.000258127947699298,-0.0015551057327584,-0.00181323368045769,-0.00124999999999997,-0.047166666666657,-0.0459166666666571
16022094,0.001012299673707,-0.0364922698254267,-0.0375045694991337,0.002,-0.083999999999987,-0.085999999999987
16022095,-0.00168356864014409,-0.00595612776279821,-0.00427255912265411,-0.00366666666666599,-0.0791666666666541,-0.0754999999999881
16022096,-0.000274931181309196,0.0106898174650384,0.0109647486463476,0.0105,-0.0211666666666609,-0.0316666666666609
16022097,0.001286532820796,-0.0019847864781217,-0.0032713192989177,0.017083333333333,-0.052499999999991,-0.069583333333324
16022098,-0.000278436811710803,-0.0370399384460885,-0.0367615016343777,0.00291666666666701,-0.085083333333321,-0.087999999999988
16022099,0.0012141106066192,-0.0017018171170973,-0.0029159277237165,0.011833333333333,-0.0114999999999961,-0.0233333333333291
16022100,-0.000859184756491098,0.0018674567247295,0.0027266414812206,0.018666666666667,-0.046499999999992,-0.065166666666659
