seed,physicalFrames,firstAllCertifiedFrame,controlAttempts,controlBytes,claimAttempts,claimBytes,responseAttempts,responseBytes,responseHeaderBytes,responseEntryBytes,bootstrapBytes,renewalBytes,nominalClaimBytes,retryClaimBytes,dataAckUtil,candidateTotalUtil,periodicTotalUtil,targetControlBytesToTie,requiredControlByteRemoval,requiredControlRemovalFraction,renewalControlFraction,noControlFloorUtil,claimFreeFloorUtil,sharedHeaderFloorUtil,bootstrapOnlyFloorUtil,renewalScaleFactorToTie
16072033,217,3,437,12144,186,4464,251,7680,4016,3664,616,11528,2160,2304,0.277247999999997,0.309631999999997,0.286719999999997,3551.99999999981,8592.00000000019,0.707509881422941,0.949275362318841,0.277247999999997,0.297727999999997,0.287018666666664,0.278890666666664,3.92643051771143
16072034,217,2,475,13328,215,5160,260,8168,4160,4008,536,12792,2352,2808,0.276991999999998,0.312533333333331,0.286719999999997,3647.9999999998,9680.0000000002,0.726290516206498,0.959783913565426,0.276991999999998,0.298773333333331,0.287679999999997,0.278421333333331,4.11053984575862
16072035,217,4,518,14336,226,5424,292,8912,4672,4240,1048,13288,2184,3240,0.275455999999998,0.313685333333331,0.286719999999997,4223.99999999979,10112.0000000002,0.705357142857157,0.926897321428571,0.275455999999998,0.299221333333331,0.286762666666664,0.278250666666664,4.18387909319927
16072036,217,3,508,13944,213,5112,295,8832,4720,4112,648,13296,2352,2760,0.277247999999997,0.314431999999997,0.286719999999997,3551.99999999981,10392.0000000002,0.745266781411374,0.953528399311532,0.277247999999997,0.300799999999998,0.288213333333331,0.278975999999998,4.57851239669452
16072037,217,4,438,12240,191,4584,247,7656,3952,3704,968,11272,2280,2304,0.276735999999997,0.309375999999997,0.286719999999997,3743.99999999981,8496.00000000019,0.694117647058839,0.920915032679739,0.276735999999997,0.297151999999997,0.286613333333331,0.279317333333331,4.06051873198875
16072038,217,2,420,11648,181,4344,239,7304,3824,3480,536,11112,2232,2112,0.277759999999998,0.308821333333331,0.286719999999997,3359.9999999998,8288.0000000002,0.711538461538479,0.953983516483517,0.277759999999998,0.297237333333331,0.287039999999998,0.279189333333331,3.93484419263484
16072039,217,3,438,12120,192,4608,246,7512,3936,3576,752,11368,2280,2328,0.276991999999998,0.309311999999997,0.286719999999997,3647.9999999998,8472.0000000002,0.699009900990116,0.937953795379538,0.276991999999998,0.297023999999998,0.286527999999998,0.278997333333331,3.92541436464116
16072040,217,2,494,13648,209,5016,285,8632,4560,4072,536,13112,2160,2856,0.277503999999997,0.313898666666664,0.286719999999997,3455.99999999981,10192.0000000002,0.746776084407985,0.960726846424385,0.277503999999997,0.300522666666664,0.288362666666664,0.278933333333331,4.4904109589044
16072041,217,3,445,12344,193,4632,252,7712,4032,3680,760,11584,2280,2352,0.276991999999998,0.309909333333331,0.286719999999997,3647.9999999998,8696.0000000002,0.704471808165927,0.938431626701231,0.276991999999998,0.297557333333331,0.286805333333331,0.279018666666664,4.01108033241025
16072042,217,3,464,12864,199,4776,265,8088,4240,3848,656,12208,2184,2592,0.277247999999997,0.311551999999997,0.286719999999997,3551.99999999981,9312.00000000019,0.72388059701494,0.949004975124378,0.277247999999997,0.298815999999997,0.287509333333331,0.278997333333331,4.21546961325995
16072043,217,2,449,12352,194,4656,255,7696,4080,3616,536,11816,2328,2328,0.276991999999998,0.309930666666664,0.286719999999997,3647.9999999998,8704.0000000002,0.70466321243525,0.95660621761658,0.276991999999998,0.297514666666664,0.286634666666664,0.278421333333331,3.79691516709536
16072044,217,2,490,13672,218,5232,272,8440,4352,4088,448,13224,2256,2976,0.277503999999997,0.313962666666664,0.286719999999997,3455.99999999981,10216.0000000002,0.747220596840271,0.967232299590404,0.277503999999997,0.300010666666664,0.288405333333331,0.278698666666664,4.39627659574495
16072045,217,3,510,14008,214,5136,296,8872,4736,4136,832,13176,2208,2928,0.276223999999998,0.313578666666664,0.286719999999997,3935.99999999979,10072.0000000002,0.719017704169061,0.940605368360937,0.276223999999998,0.299882666666664,0.287253333333331,0.278442666666664,4.24484536082502
16072046,217,3,497,13744,220,5280,277,8464,4432,4032,792,12952,2376,2904,0.277247999999997,0.313898666666664,0.286719999999997,3551.99999999981,10192.0000000002,0.74155995343424,0.942374854481956,0.277247999999997,0.299818666666664,0.287999999999997,0.279359999999997,4.69275362318874
16072047,217,5,476,13152,205,4920,271,8232,4336,3896,648,12504,2448,2472,0.276735999999997,0.311807999999997,0.286719999999997,3743.99999999981,9408.00000000019,0.715328467153299,0.950729927007299,0.276735999999997,0.298687999999998,0.287125333333331,0.278463999999997,4.03875968992273
16072048,217,2,464,12824,204,4896,260,7928,4160,3768,504,12320,2256,2640,0.277503999999997,0.311701333333331,0.286719999999997,3455.99999999981,9368.00000000019,0.730505302557719,0.960698689956332,0.277503999999997,0.298645333333331,0.287551999999997,0.278847999999997,4.17344173441761
16072049,217,2,431,11872,188,4512,243,7360,3888,3472,504,11368,2208,2304,0.277503999999997,0.309162666666664,0.286719999999997,3455.99999999981,8416.00000000019,0.708894878706215,0.957547169811321,0.277503999999997,0.297130666666664,0.286762666666664,0.278847999999997,3.85094850948534
16072050,217,2,572,15880,247,5928,325,9952,5200,4752,560,15320,2568,3360,0.276991999999998,0.319338666666664,0.286719999999997,3647.9999999998,12232.0000000002,0.770277078085655,0.964735516372796,0.276991999999998,0.303530666666664,0.289663999999998,0.278485333333331,4.96113989637338
16072051,217,4,541,15056,243,5832,298,9224,4768,4456,1096,13960,2448,3384,0.276735999999997,0.316885333333331,0.286719999999997,3743.99999999981,11312.0000000002,0.751328374070151,0.927205100956429,0.276735999999997,0.301333333333331,0.288618666666664,0.279658666666664,5.27190332326322
16072052,217,3,464,12864,200,4800,264,8064,4224,3840,816,12048,2448,2352,0.276479999999998,0.310783999999997,0.286719999999997,3839.9999999998,9024.0000000002,0.701492537313448,0.936567164179104,0.276479999999998,0.297983999999998,0.286719999999998,0.278655999999998,3.98412698412725
16072053,217,4,456,12504,190,4560,266,7944,4256,3688,936,11568,2208,2352,0.277503999999997,0.310847999999997,0.286719999999997,3455.99999999981,9048.00000000019,0.72360844529752,0.925143953934741,0.277503999999997,0.298687999999997,0.287338666666664,0.279999999999997,4.59047619047653
16072054,217,3,471,13064,199,4776,272,8288,4352,3936,760,12304,2352,2424,0.275967999999997,0.310805333333331,0.286719999999997,4031.99999999981,9032.00000000019,0.691365584813242,0.941824862216779,0.275967999999997,0.298069333333331,0.286463999999997,0.277994666666664,3.76039119804423
16072055,217,3,480,13376,211,5064,269,8312,4304,4008,752,12624,2256,2808,0.276735999999997,0.312405333333331,0.286719999999997,3743.99999999981,9632.00000000019,0.720095693779918,0.94377990430622,0.276735999999997,0.298901333333331,0.287423999999997,0.278741333333331,4.21925133689866
16072056,217,4,419,11576,181,4344,238,7232,3808,3424,704,10872,2232,2112,0.276735999999997,0.307605333333331,0.286719999999997,3743.99999999981,7832.00000000019,0.676572218382878,0.939184519695923,0.276735999999997,0.296021333333331,0.285866666666664,0.278613333333331,3.57631578947391
16072057,217,2,459,12664,200,4800,259,7864,4144,3720,552,12112,2160,2640,0.276991999999998,0.310762666666664,0.286719999999997,3647.9999999998,9016.0000000002,0.711939355653838,0.95641187618446,0.276991999999998,0.297962666666664,0.286911999999998,0.278463999999997,3.91214470284263
16072058,217,5,450,12472,200,4800,250,7672,4000,3672,1128,11344,2352,2448,0.276479999999998,0.309738666666664,0.286719999999997,3839.9999999998,8632.0000000002,0.692110327132793,0.909557408595253,0.276479999999998,0.296938666666664,0.286271999999998,0.279487999999998,4.18289085545753
16072059,217,4,477,13320,213,5112,264,8208,4224,3984,944,12376,2184,2928,0.276735999999997,0.312255999999997,0.286719999999997,3743.99999999981,9576.00000000019,0.718918918918933,0.929129129129129,0.276735999999997,0.298623999999998,0.287359999999998,0.279253333333331,4.4200000000003
16072060,217,3,482,13352,208,4992,274,8360,4384,3976,704,12648,2280,2712,0.277247999999997,0.312853333333331,0.286719999999997,3551.99999999981,9800.00000000019,0.733972438585994,0.947273816656681,0.277247999999997,0.299541333333331,0.287850666666664,0.279125333333331,4.44101123595536
