armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanPrimaryFormationRMSE_m,stdPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,stdEvaluationCost025PerChannel_Hz,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanEventAllocationRatio,meanControlViolationRatio,scenarioId,scenario,isPareto,frontierFamily
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0,0,0.163922930105337,0.00326116933696291,0.163921260437046,0.00326660784042364,12.5,0,12.4666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0,0,0.146093326264559,0.00595989169379003,0.146091631214476,0.00596132329559353,16.6663636363636,0.00995859195463957,16.6333333333333,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0,0,0.126975087706541,0.00529612605512576,0.126971651094584,0.00530396933901684,25,0,24.9666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0,0,0.103272776790593,0.00199224686540242,0.103271621583481,0.0019929630301068,50,0,49.9666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
CA11,Control-aware,Control-aware,epsilonPosition_m,1.6,NaN,1.6,5,0,0,0,0.510830337594428,0.00978884316922925,0.510843631705036,0.00978945721993378,2.38545454545455,0.0755933826742278,2.68866666666667,0.0764480578926341,1,0.220506329113924,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA10,Control-aware,Control-aware,epsilonPosition_m,1.2,NaN,1.2,5,0,0,0,0.406111330138122,0.0110709530974923,0.406110728206728,0.0110690593446969,3.03090909090909,0.0800446995473144,3.45616666666667,0.0697903606842982,1,0.275989340439707,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA09,Control-aware,Control-aware,epsilonPosition_m,0.8,NaN,0.8,5,0,0,0,0.312279039607873,0.00745646945247417,0.312283028865265,0.00748038276059484,4.21568181818182,0.024404053991902,4.74283333333333,0.0398896046051544,1,0.385849433710859,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA08,Control-aware,Control-aware,epsilonPosition_m,0.6,NaN,0.6,5,0,0,0,0.271308641100662,0.00748001454626053,0.271309520862499,0.00749491334949596,5.14909090909091,0.126308747889402,5.6825,0.0773205808450905,1,0.465516322451699,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA07,Control-aware,Control-aware,epsilonPosition_m,0.4,NaN,0.4,5,0,0,0,0.224001645582369,0.00802316432211649,0.224006604212869,0.00803156467777742,6.8,0.110429173105332,7.386,0.0990605174179458,1,0.585129913391073,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA06,Control-aware,Control-aware,epsilonPosition_m,0.3,NaN,0.3,5,0,0,0,0.200759461736348,0.00519753957611117,0.2007550185281,0.00519886304466423,8.31613636363636,0.0589015760498562,8.99916666666667,0.0497039848614892,1,0.684263824117255,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA05,Control-aware,Control-aware,epsilonPosition_m,0.2,NaN,0.2,5,0,0,0,0.183244433787802,0.00720685287236052,0.183243053452305,0.00721800735962513,10.2665909090909,0.0270540475271875,11.3171666666667,0.0525416501453843,1,0.884716855429714,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA04,Control-aware,Control-aware,epsilonPosition_m,0.15,NaN,0.15,5,0,0,0,0.179491985406635,0.00792992503071703,0.179499065229088,0.00793289230117061,10.7293181818182,0.0469457111287968,12.2,0.0955830063929306,1,0.981105929380413,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA03,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,5,0,0,0,0.167003589071148,0.00511751670535119,0.166995475072205,0.00511838751096663,12.8506818181818,0.0505624358328926,15.2033333333333,0.0325906854450436,1,0.999240506329114,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA02,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,5,0,0,0,0.157010548867621,0.00622184005397616,0.157005859797582,0.00622774758667711,16.1486363636364,0.0815945491717765,18.9146666666667,0.107091601496621,1,0.999267155229847,S3,Gilbert-Elliott-burst-loss,0,Control-aware
CA01,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,5,0,0,0,0.138391537145006,0.00554031617141123,0.138391460820895,0.00554398527344124,22.9690909090909,0.0728930993004121,25.8565,0.118964572224023,1,0.999333777481679,S3,Gilbert-Elliott-burst-loss,0,Control-aware
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0,1,0.432363164500426,0.0200689763974771,0.432274651162221,0.0194017049505156,1.24818181818182,0.00406557814090878,1.21666666666667,0.00527046276694725,1.00146514334074,NaN,S4,Time-varying-congestion,0,Periodic
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0,0,0.301340265861121,0.00938064673708357,0.303594902393725,0.01195075476044,2,0,1.96666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0,0,0.256911289442407,0.0109777025499572,0.259731535485119,0.011852216431358,2.5,0,2.46666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0,0,0.215237313996281,0.00923152515193651,0.216738969220859,0.00735001244047081,3.33545454545455,0.00380300012060932,3.3,0,1.00106489937682,NaN,S4,Time-varying-congestion,0,Periodic
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0,0,0.168280172404404,0.00295267285193943,0.170573805856513,0.00311863009337884,5,0,4.96666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0,0,0.145416029882582,0.00321513716027966,0.147205753865599,0.00343431718222789,6.24545454545455,0.0124482399432991,6.21666666666667,0.00527046276694756,1.00073098022278,NaN,S4,Time-varying-congestion,0,Periodic
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0,0,0.117434857278464,0.00237730794342634,0.119339694361658,0.00270242502821238,10,0,9.96666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0,0,0.105922035024497,0.000956076534283874,0.107622822087049,0.00111861457088964,12.5,0,12.4666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0,0,0.0958193695842158,0.0011038065153043,0.097411970253995,0.0012302183035681,16.6663636363636,0.00995859195463957,16.6333333333333,0,1.00033808423934,NaN,S4,Time-varying-congestion,0,Periodic
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0,0,0.085209369285456,0.000490029070983518,0.086703796320933,0.000523603706874239,25,0,24.9666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0,0,0.073692880607201,0.000112792825909308,0.0749799248894006,0.000131782152159312,50,0,49.9666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
CA11,Control-aware,Control-aware,epsilonPosition_m,1.6,NaN,1.6,5,0,0,0,0.488572178593116,0.00415369410889026,0.487921121960495,0.00552255060618083,1.87704545454545,0.0527608141748845,2.1485,0.0425057185695184,1.00786773206187,0.158614257161892,S4,Time-varying-congestion,0,Control-aware
CA10,Control-aware,Control-aware,epsilonPosition_m,1.2,NaN,1.2,5,0,0,0,0.368621702100524,0.00700131909645081,0.368919962979837,0.00690800838171075,2.49568181818182,0.103597480744123,2.9205,0.070549923222259,1.01305053405899,0.209686875416389,S4,Time-varying-congestion,0,Control-aware
CA09,Control-aware,Control-aware,epsilonPosition_m,0.8,NaN,0.8,5,0,0,0,0.270397778373501,0.00117428367466838,0.270766748915041,0.000798566450846662,3.49545454545455,0.0859326867547651,4.1105,0.0733655232380991,1.00250566715474,0.30089273817455,S4,Time-varying-congestion,0,Control-aware
CA08,Control-aware,Control-aware,epsilonPosition_m,0.6,NaN,0.6,5,0,0,0,0.218477841630486,0.00272477036862513,0.219000436097829,0.00285624873468654,4.44090909090909,0.0303219637821052,5.117,0.0160359838419028,1.00611294355483,0.37981345769487,S4,Time-varying-congestion,0,Control-aware
CA07,Control-aware,Control-aware,epsilonPosition_m,0.4,NaN,0.4,5,0,0,0,0.166794993756593,0.00257456205370958,0.167775311632523,0.00291867429030612,6.15568181818182,0.0268311794389037,6.88716666666667,0.0222017266595793,1.00723560940837,0.51493670886076,S4,Time-varying-congestion,0,Control-aware
CA06,Control-aware,Control-aware,epsilonPosition_m,0.3,NaN,0.3,5,0,0,0,0.14494865501514,0.00248114524336674,0.14639697390938,0.00275222586839157,7.61954545454545,0.0393516672964218,8.5455,0.0187323991463395,0.999766919155908,0.603717521652232,S4,Time-varying-congestion,0,Control-aware
CA05,Control-aware,Control-aware,epsilonPosition_m,0.2,NaN,0.2,5,0,0,0,0.126921034631764,0.00305502204965482,0.129115477982091,0.00317822439077913,9.58795454545455,0.018613483737858,11.0068333333333,0.00578551831923697,0.992340477354331,0.776655562958028,S4,Time-varying-congestion,0,Control-aware
CA04,Control-aware,Control-aware,epsilonPosition_m,0.15,NaN,0.15,5,0,0,0,0.123755164060816,0.00399052583688886,0.125708622017825,0.00418785530187807,10.3395454545455,0.01190201906616,12.1538333333333,0.0185835201784328,0.999391404739774,0.882291805463025,S4,Time-varying-congestion,0,Control-aware
CA03,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,5,0,0,0,0.114032577036424,0.00135472265740422,0.11557574930234,0.00151109366664596,12.7670454545455,0.018706906401312,15.3476666666667,0.0173144929659125,1.00167987612403,0.938374417055296,S4,Time-varying-congestion,0,Control-aware
CA02,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,5,0,0,0,0.104933434134702,0.00157155353712019,0.106769837646525,0.00161116458032997,15.9472727272727,0.0234074359520911,19.1986666666667,0.0135861449032939,0.999591005627536,0.962811459027315,S4,Time-varying-congestion,0,Control-aware
