armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,retryInterval_s,seed,scenarioId,scenario,formationRMSE_m,primaryFormationRMSE_m,maxFormationError_m,primaryMaxFormationError_m,txCount,ackCount,dataRatePerChannel_Hz,cost025PerChannel_Hz,evaluationCost025PerChannel_Hz,eventCost025PerChannel_Hz,quietCost025PerChannel_Hz,eventTrafficConcentration,eventDurationFraction,eventAllocationRatio,broadcastRate_Hz,maxEvaluationAcceleration_mps2,saturationFraction,diverged,invariantViolations,traceHashExact,controlViolationRatio,controlMaxNormalizedRisk,runtime_s,failed,errorIdentifier,errorMessage
CA01,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,0.1,27020003,S1,Stationary-Moderate,0.0739782763634521,0.0739776056117004,0.0988419380883691,0.0988419380883691,6787,5401,22.6233333333333,27.1241666666667,23.9806818181818,NaN,NaN,NaN,NaN,NaN,148.033333333333,0.0814580781430752,0,0,0,47240498210,0.999333777481679,75.7947404412996,4.072548,0,,
CA01,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,0.1,27020004,S1,Stationary-Moderate,0.0741706275032126,0.0741711622233923,0.0947069928090861,0.0947069928090861,6787,5361,22.6233333333333,27.0908333333333,23.9340909090909,NaN,NaN,NaN,NaN,NaN,148.033333333333,0.0947457546900687,0,0,0,47136378024,0.999333777481679,75.7947404412996,4.1187075,0,,
CA01,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,0.1,27020005,S1,Stationary-Moderate,0.0733495019891424,0.073348725432776,0.0937348530843189,0.0937348530843189,6790,5472,22.6333333333333,27.1933333333333,24.0306818181818,NaN,NaN,NaN,NaN,NaN,148.133333333333,0.0894297327571144,0,0,0,47246216507,0.999333777481679,73.6046659713333,4.1865388,0,,
CA02,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,0.1,27020001,S1,Stationary-Moderate,0.0862794104390589,0.0862799996280661,0.114345811297671,0.114345811297671,4796,3822,15.9866666666667,19.1716666666667,15.9056818181818,NaN,NaN,NaN,NaN,NaN,106.666666666667,0.11882207894586,0,0,0,47187688286,0.999267155229847,50.5607194135949,3.8338558,0,,
CA02,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,0.1,27020002,S1,Stationary-Moderate,0.0867494918053347,0.0867495832737272,0.114424993724981,0.114424993724981,4795,3825,15.9833333333333,19.1708333333333,15.8977272727273,NaN,NaN,NaN,NaN,NaN,106.633333333333,0.115871616668512,0,0,0,47256918831,0.999267155229847,49.0697773142222,3.8857822,0,,
CA02,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,0.1,27020003,S1,Stationary-Moderate,0.0868837194239139,0.0868853985937056,0.115113327043208,0.115113327043208,4794,3849,15.98,19.1875,15.9340909090909,NaN,NaN,NaN,NaN,NaN,106.566666666667,0.147987631681321,0,0,0,47240498210,0.999267155229847,50.5298269608664,4.1263327,0,,
CA02,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,0.1,27020004,S1,Stationary-Moderate,0.0876989408110358,0.0877004823119762,0.116295759187387,0.116295759187387,4796,3788,15.9866666666667,19.1433333333333,15.9090909090909,NaN,NaN,NaN,NaN,NaN,106.633333333333,0.152410898537198,0,0,0,47136378024,0.999267155229847,50.5298269608664,4.7363237,0,,
CA02,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,0.1,27020005,S1,Stationary-Moderate,0.087381011803517,0.0873799204215651,0.118148370214339,0.118148370214339,4792,3845,15.9733333333333,19.1775,15.9318181818182,NaN,NaN,NaN,NaN,NaN,106.566666666667,0.14704700774552,0,0,0,47246216507,0.999267155229847,49.0697773142222,5.030014,0,,
CA03,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,0.1,27020001,S1,Stationary-Moderate,0.0947272452754389,0.0947301871535355,0.124578351955126,0.124578351955126,3833,3063,12.7766666666667,15.3291666666667,12.7613636363636,NaN,NaN,NaN,NaN,NaN,85.6333333333333,0.158800513258471,0,0,0,47187688286,0.999267155229847,37.9205395601962,4.7856328,0,,
CA03,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,0.1,27020002,S1,Stationary-Moderate,0.0954719676042871,0.0954726260824953,0.138729663392081,0.138729663392081,3842,3072,12.8066666666667,15.3666666666667,12.7613636363636,NaN,NaN,NaN,NaN,NaN,85.7,0.187426032348103,0,0,0,47256918831,0.999267155229847,36.8023329856667,4.9503023,0,,
CA03,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,0.1,27020003,S1,Stationary-Moderate,0.0948378318370449,0.094837557480797,0.124350443851431,0.124350443851431,3844,3043,12.8133333333333,15.3491666666667,12.75,NaN,NaN,NaN,NaN,NaN,85.8333333333333,0.141931754699733,0,0,0,47240498210,0.999267155229847,37.8973702206498,9.2246923,0,,
CA03,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,0.1,27020004,S1,Stationary-Moderate,0.0951824259379534,0.0951809689917812,0.129054884175715,0.129054884175715,3834,3017,12.78,15.2941666666667,12.7295454545455,NaN,NaN,NaN,NaN,NaN,85.6333333333333,0.142309540140937,0,0,0,47136378024,0.999267155229847,37.8973702206498,3.6416997,0,,
CA03,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,0.1,27020005,S1,Stationary-Moderate,0.0964217551737142,0.0964221937141349,0.130922160020079,0.130922160020079,3836,3066,12.7866666666667,15.3416666666667,12.7715909090909,NaN,NaN,NaN,NaN,NaN,85.7333333333333,0.179418064744926,0,0,0,47246216507,0.999267155229847,36.8023329856667,3.4311053,0,,
