seed,profile,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,FORMFAIL,SAFEFAIL
17,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
18,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
19,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
20,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,1,0,0
1,State-event,Moderate,0.165764358865801,0.228293478350337,0.384747715846755,0.268056312443233,4.30555555555556,1550,0.798064516129032,1,0
2,State-event,Moderate,0.164843934904086,0.22348650150186,0.402287223953757,0.271344232515895,4.3,1548,0.799741602067183,1,0
3,State-event,Moderate,0.165269124694012,0.242060955306128,0.392564630687531,0.269523160762943,4.29444444444444,1546,0.810478654592497,1,0
4,State-event,Moderate,0.173190378676166,0.254110847974081,0.389192254913685,0.278567968513473,4.28888888888889,1544,0.796632124352332,1,0
5,State-event,Moderate,0.173093951897911,0.238185484497829,0.370602180079652,0.281478958522555,4.27777777777778,1540,0.796103896103896,1,0
6,State-event,Moderate,0.164547486496972,0.237128719687133,0.392098487410106,0.26677565849228,4.30555555555556,1550,0.811612903225806,1,0
7,State-event,Moderate,0.162721087512432,0.221690315309924,0.394043829948739,0.266563729942476,4.30555555555556,1550,0.813548387096774,1,0
8,State-event,Moderate,0.172524307340171,0.234889551166518,0.392045544101408,0.280641840750832,4.28888888888889,1544,0.789507772020725,1,0
9,State-event,Moderate,0.173351382231249,0.253108899707606,0.36672766324869,0.276419921283681,4.28333333333333,1542,0.791828793774319,1,0
10,State-event,Moderate,0.167623181315719,0.232511824327717,0.39332486877809,0.270511656070239,4.3,1548,0.809431524547804,1,0
11,State-event,Moderate,0.17063435151334,0.235961449666679,0.391428609730849,0.276418407508326,4.28333333333333,1542,0.791180285343709,1,0
12,State-event,Moderate,0.165548120809322,0.232359980095974,0.389022509284555,0.274082652134423,4.28888888888889,1544,0.812176165803109,1,0
13,State-event,Moderate,0.168477618115588,0.244440313137918,0.37801553293114,0.277364517105662,4.3,1548,0.792635658914729,1,0
14,State-event,Moderate,0.170815768513751,0.237543419744433,0.386293549555727,0.278247048138056,4.3,1548,0.788113695090439,1,0
15,State-event,Moderate,0.166430141282256,0.245146642027369,0.380165983717252,0.280360278534665,4.3,1548,0.800387596899225,1,0
