attemptId,endpoint,actionIndex,actionId,q,affineQ,senderInformationResidual,dynamicResidual,actionResponseResidual,oracleResponseResidual,affineOracleMismatch,saturationMargin,argMax,commonFiberReplayPass,failureReason
center_03_sender_4,RIGHT,1,ordinary_4_to_3,0.000280715116005634,0.000280715116005634,2.49027686492764e-18,2.4980018054066e-16,0,0,2.71050543121376e-19,0.0564310879623284,1,1,NONE
center_03_sender_4,RIGHT,2,ordinary_4_to_5,1.04310122447574e-05,1.04310122447574e-05,2.49027686492764e-18,2.4980018054066e-16,0,0,2.87991202066462e-20,0.0564310879623284,0,1,NONE
center_04_sender_1,CENTER,0,NO_TRANSMISSION,0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,CENTER,1,ordinary_1_to_2,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,CENTER,2,ordinary_1_to_5,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,CENTER,3,pinned_leader_1_to_2,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,CENTER,4,pinned_leader_1_to_4,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,LEFT,0,NO_TRANSMISSION,0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,LEFT,1,ordinary_1_to_2,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,LEFT,2,ordinary_1_to_5,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,LEFT,3,pinned_leader_1_to_2,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,LEFT,4,pinned_leader_1_to_4,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,RIGHT,0,NO_TRANSMISSION,0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,RIGHT,1,ordinary_1_to_2,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,RIGHT,2,ordinary_1_to_5,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,RIGHT,3,pinned_leader_1_to_2,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_1,RIGHT,4,pinned_leader_1_to_4,-0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_3,CENTER,0,NO_TRANSMISSION,0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_3,CENTER,1,ordinary_3_to_2,2.69991751937308e-21,2.11758236813575e-21,0,3.67761376907083e-16,0,0,5.82335151237331e-22,1.32526196479108,1,1,NONE
center_04_sender_3,CENTER,2,ordinary_3_to_4,-9.54220694304478e-05,-9.54220694304478e-05,0,3.67761376907083e-16,0,0,2.71050543121376e-20,1.32526196479108,0,1,NONE
center_04_sender_3,LEFT,0,NO_TRANSMISSION,0,0,2.71050543121376e-20,2.22044604925031e-16,0,0,0,0.137162551995905,1,1,NONE
center_04_sender_3,LEFT,1,ordinary_3_to_2,-4.60025342322558e-06,-4.60025342322559e-06,2.71050543121376e-20,2.22044604925031e-16,0,0,1.10114283143059e-20,0.137162551995905,0,1,NONE
center_04_sender_3,LEFT,2,ordinary_3_to_4,-0.00026812841224187,-0.00026812841224187,2.71050543121376e-20,2.22044604925031e-16,0,0,2.16840434497101e-19,0.137162551995905,0,1,NONE
center_04_sender_3,RIGHT,0,NO_TRANSMISSION,0,0,2.71050543121376e-20,1.79354144383415e-16,0,0,0,1.98024448180242,0,1,NONE
center_04_sender_3,RIGHT,1,ordinary_3_to_2,2.54243452367527e-06,2.54243452367527e-06,2.71050543121376e-20,1.79354144383415e-16,0,0,3.81164826264435e-21,1.98024448180242,1,1,NONE
center_04_sender_3,RIGHT,2,ordinary_3_to_4,2.78548409844597e-08,2.78548409844486e-08,2.71050543121376e-20,1.79354144383415e-16,0,0,1.10114283143059e-20,1.98024448180242,0,1,NONE
center_04_sender_4,CENTER,0,NO_TRANSMISSION,0,0,0,3.67761376907083e-16,0,0,0,1.32526196479108,1,1,NONE
center_04_sender_4,CENTER,1,ordinary_4_to_3,-0.000264519282734455,-0.000264519282734456,0,3.67761376907083e-16,0,0,2.16840434497101e-19,1.32526196479108,0,1,NONE
center_04_sender_4,CENTER,2,ordinary_4_to_5,-0.000388601527921368,-0.000388601527921368,0,3.67761376907083e-16,0,0,2.71050543121376e-19,1.32526196479108,0,1,NONE
center_04_sender_4,LEFT,0,NO_TRANSMISSION,0,0,2.60208521396521e-18,3.53883589099269e-16,0,0,0,3.3343716328238e-05,1,1,NONE
center_04_sender_4,LEFT,1,ordinary_4_to_3,-0.00428760374906312,-0.00428760374906312,2.60208521396521e-18,3.53883589099269e-16,3.46944695195361e-18,0,2.60208521396521e-18,3.3343716328238e-05,0,1,NONE
