seed,method,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,ACKRATE,ACKCOUNT,PDR,VIOLATIONS,POSTRIG,VELTRIG,AOITRIG,TIMEOUTTRIG,MEANSCALE,MINSCALE,ESTAOI,SUPPRINFLIGHT,MEANOUTST,MAXOUTST,ACKCUMGAIN,DUPACK,HARDRATIO,ADAPTRATIO,REFRESHRATIO,CDBLOCKED,INFLBLOCKED,STALEACKDISC,FORMFAIL,SAFEFAIL
2,A3c Adapt-OL,Moderate,0.104826446198488,0.14133915026486,0.47305533181434,0.171074780502573,8.29444444444444,2986,6.56111111111111,2362,0.794038847957133,0,0.0649698593436035,0.0087073007367716,0.926322839919625,0,0.494939484787948,0.424999999999999,0.0612261580381478,0.343604263824117,1.41239173884077,6,1.26188455008489,0,0,0,0,0,0,0,1,0
3,A3c Adapt-OL,Moderate,0.103215939123004,0.136988240298101,0.465122575841394,0.167552225249773,8.32222222222222,2996,6.73333333333333,2424,0.811748998664886,0,0.0647530040053405,0.00867823765020027,0.926568758344459,0,0.495153231179242,0.424999999999999,0.0609645776566764,0.332889184987786,1.38962913613147,8,1.23643892339545,0,0,0,0,0,0,0,1,0
1,A4c Dual-mem,Moderate,0.0997141099258737,0.136328199768343,0.469326159755176,0.161330608537693,9.07222222222222,3266,7.28611111111111,2623,0.806184935701163,0,0.0471524800979792,0.00796080832823025,0.944886711573791,0,0.259805962691491,0.2,0.241736603088103,0.299133910726183,1.49850099933378,5,1.24531190202832,0,0,0,0,0,0,0,0,0
2,A4c Dual-mem,Moderate,0.100580579321299,0.134275193680122,0.476213538370641,0.163829851650015,9.07222222222222,3266,7.21944444444444,2599,0.798224127372933,0,0.0489895897121862,0.00796080832823025,0.943049601959584,0,0.259267432822513,0.2,0.244326975476841,0.30540750610704,1.50832778147901,6,1.25685592893009,0,0,0,0,0,0,0,1,0
3,A4c Dual-mem,Moderate,0.100835564487148,0.134677570292687,0.469423611138179,0.164635180139267,9.07222222222222,3266,7.19444444444444,2590,0.79485609308022,0,0.0453153704837722,0.00796080832823025,0.946723821187998,0,0.259098101265773,0.2,0.24484650317893,0.306129247168554,1.52387297357317,6,1.26103795507359,0,0,0,0,0,0,0,1,0
1,A5c Innov-pri,Moderate,0.0876136051440154,0.113207736959221,0.490999529608387,0.14210566151983,13.3472222222222,4805,10.6194444444444,3823,0.797710718002081,0,0,0.00374609781477627,0.996253902185224,0,0.283064068398799,0.2,0.22126612170754,0.144958916278037,2.101321341328,9,1.25622869131917,0,0.00374609781477627,0.996253902185224,0,10222,10224,0,0,0
2,A5c Innov-pri,Moderate,0.0874562739283046,0.11571508334666,0.491835196841599,0.14168331819558,13.3472222222222,4805,10.6888888888889,3848,0.802913631633715,0,0,0.00374609781477627,0.996253902185224,0,0.283348600932665,0.2,0.221451407811083,0.144625805018876,2.09588052409505,8,1.24798124511592,0,0.00374609781477627,0.996253902185224,0,10237,10238,0,0,0
3,A5c Innov-pri,Moderate,0.0868921582691082,0.11132748672989,0.492088095741904,0.141020284589767,13.3222222222222,4796,10.7472222222222,3869,0.808798999165972,0,0,0.00375312760633862,0.996246872393661,0,0.283737230735019,0.2,0.220158038147141,0.142960248723074,2.08200088829669,10,1.23976153447382,0,0.00375312760633862,0.996246872393661,0,10212,10215,0,0,0
1,P10,Stressed,0.148609477412976,0.194841276135087,0.414655371754712,0.239987889797154,10,3600,0,0,0.603055555555556,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,P10,Stressed,0.147962517528297,0.198804186306734,0.420260886664247,0.23621102028459,10,3600,0,0,0.6,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P10,Stressed,0.144090167216293,0.206065580860414,0.42304658747262,0.231964880411747,10,3600,0,0,0.604722222222222,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,P20,Stressed,0.110917725806408,0.147037158606366,0.4622093863588,0.179006963366636,20,7200,0,0,0.601944444444444,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,P20,Stressed,0.109873953747229,0.141922287828247,0.463573825904921,0.17793672419013,20,7200,0,0,0.596944444444444,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P20,Stressed,0.110955828802019,0.142819930844987,0.457553522277664,0.179235543445353,20,7200,0,0,0.600555555555556,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
