seed,commRateHz,packetLoss,delay,RMSE,MAXERR,MINFULL,MINEVAL,PDR,AOI,ARRIVAL,TXRATE,SAFETYFAIL,FORMATIONFAIL
1,5,0.4,0,0.152932860044261,0.220186125119775,0.226522119291323,0.392666405180954,0.596666666666667,0.240684226460793,0.596666666666667,60,0,1
2,5,0.4,0,0.151471853524576,0.220712050144676,0.258367750535492,0.380888394546065,0.605,0.231995155918862,0.605,60,0,1
3,5,0.4,0,0.141787485545549,0.214263721581182,0.268553802894377,0.434993630956196,0.607777777777778,0.218764759309718,0.607777777777778,60,0,1
4,5,0.4,0,0.160685037868083,0.248544940479059,0.193509651512615,0.393259886349185,0.581666666666667,0.23954889494399,0.581666666666667,60,0,1
5,5,0.4,0,0.146286376010323,0.195959900140895,0.255179667516431,0.416395602725412,0.603888888888889,0.230057523463518,0.603888888888889,60,0,1
6,5,0.4,0,0.154221188149424,0.23072411366995,0.249315977220055,0.379428413199706,0.588888888888889,0.23431123221314,0.588888888888889,60,0,1
7,5,0.4,0,0.149523086903131,0.228342683853876,0.238450611948051,0.378887882921325,0.603888888888889,0.225561610656979,0.603888888888889,60,0,1
8,5,0.4,0,0.143898887682578,0.227565035171723,0.221048941289045,0.406968785478304,0.608333333333333,0.236279140175598,0.608333333333333,60,0,1
9,5,0.4,0,0.14612173356636,0.222858115015747,0.257640096247667,0.402206000909753,0.602777777777778,0.232040569179534,0.602777777777778,60,0,1
10,5,0.4,0,0.158772598128489,0.248080356831567,0.191933252670799,0.383708145073831,0.581666666666667,0.247117771722676,0.581666666666667,60,0,1
11,5,0.4,0,0.148979353465801,0.225576807323943,0.228341674792105,0.425289355475735,0.588333333333333,0.235915834090221,0.588333333333333,60,0,1
12,5,0.4,0,0.15872689482637,0.239688091398663,0.240324263318092,0.406765904345567,0.580555555555555,0.24554344535271,0.580555555555556,60,0,1
13,5,0.4,0,0.145032010418332,0.209189307710884,0.200772966962877,0.390886882273999,0.622222222222222,0.225788676960339,0.622222222222222,60,0,1
14,5,0.4,0,0.153416953497198,0.24035461672042,0.229104418102545,0.364467861962476,0.597222222222222,0.230647895852256,0.597222222222222,60,0,1
15,5,0.4,0,0.149502672529291,0.212004504633161,0.223902224024086,0.404976646375352,0.595555555555556,0.230057523463518,0.595555555555556,60,0,1
16,5,0.4,0,0.15579332741713,0.246431997808467,0.210328811444958,0.398683758758782,0.597222222222222,0.232570390554042,0.597222222222222,60,0,1
17,5,0.4,0,0.153525482382096,0.224690507167116,0.241561879784324,0.384484686155069,0.582777777777778,0.235537390251287,0.582777777777778,60,0,1
18,5,0.4,0,0.147869089644417,0.28568173500843,0.225810511993919,0.38449565571681,0.612777777777778,0.210363306085377,0.612777777777778,60,0,1
19,5,0.4,0,0.156307589364775,0.240011424040655,0.237009513029758,0.391306757450389,0.584444444444444,0.244710868907054,0.584444444444444,60,0,1
20,5,0.4,0,0.155885088888307,0.24751325134082,0.260522724854221,0.361525767683558,0.595,0.24554344535271,0.595,60,0,1
1,10,0.4,0,0.0741931104240179,0.115682555002988,0.253056794517861,0.507291087155198,0.593611111111111,0.119120496518317,0.593611111111111,120,0,0
2,10,0.4,0,0.0779825740718532,0.116689016628355,0.24877866547803,0.490753663226116,0.593611111111111,0.12025582803512,0.593611111111111,120,0,0
3,10,0.4,0,0.0751632221872261,0.124760245482543,0.253054506212669,0.491081497419805,0.590833333333333,0.115865879503482,0.590833333333333,120,0,0
4,10,0.4,0,0.0716584118269926,0.103957098145963,0.252099986318542,0.513294213084171,0.605277777777778,0.112656675749319,0.605277777777778,120,0,0
5,10,0.4,0,0.0702376299247552,0.100018347357642,0.25420543106362,0.501693087715388,0.610833333333333,0.111377535573721,0.610833333333333,120,0,0
6,10,0.4,0,0.0729720638647337,0.103906538640554,0.255385926597981,0.498145923510552,0.613611111111111,0.11351195882531,0.613611111111111,120,0,0
7,10,0.4,0,0.0751511368231939,0.102045643155448,0.251606675056935,0.505442137184087,0.588888888888889,0.118477141992128,0.588888888888889,120,0,0
8,10,0.4,0,0.0728618313732678,0.0991086134606748,0.265692342870683,0.508292479960498,0.606111111111111,0.11374659400545,0.606111111111111,120,0,0
9,10,0.4,0,0.075231487403746,0.113998076131299,0.263360013173973,0.499297190312946,0.596111111111111,0.116759006963367,0.596111111111111,120,0,0
10,10,0.4,0,0.0757793334958657,0.107934611769317,0.253719418881887,0.495133012187194,0.5925,0.117508325764457,0.5925,120,0,0
11,10,0.4,0,0.072065749434514,0.103980336020682,0.247775141124404,0.496315583672927,0.613611111111111,0.114117468967605,0.613611111111111,120,0,0
12,10,0.4,0,0.073446882747576,0.122300732026265,0.263570518140005,0.513629833728384,0.603611111111111,0.118348471086891,0.603611111111111,120,0,0
13,10,0.4,0,0.07421073681452,0.102601671375318,0.258198084805901,0.503193232789678,0.586388888888889,0.120937026945201,0.586388888888889,120,0,0
14,10,0.4,0,0.0755894092716387,0.116310182055298,0.266767573757055,0.483950116535456,0.6,0.116039963669392,0.6,120,0,0
