armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,meanPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,scenarioId,costModel
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,NaN,NaN,5,0,0.382039662738185,3.41181818181818,S5,C1
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,NaN,NaN,5,0,0.49436824446438,2.04386363636364,S5,C1
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,NaN,NaN,5,0,0.73368891245465,1.15909090909091,S5,C1
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,NaN,NaN,5,0,1.10938953279635,0.566136363636364,S5,C1
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,NaN,NaN,5,0,1.65320054285544,0.05,S5,C1
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0.26684350693571,50,S5,C1
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0.27413499337616,25,S5,C1
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0.283409840534781,16.6663636363637,S5,C1
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0.290866907462571,12.5,S5,C1
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0.298683200799995,10,S5,C1
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0.324271106077022,6.24545454545455,S5,C1
