N,interferenceMode,source,linkErasureProbability,parentPlanHash,currentPlanHash,planHashExact,repetitionExact,reliabilityExact,boundExact,durationExact,simulatorVersionHash,attempts,physicalBytes,offeredAirtimeSec,reservedDurationSec,attemptExact,byteExact,airtimeExact,deliveryExact,collisionRecipients,duplicateForwards,forbiddenReads
20,spatial-reuse-lower-bound,14,0.05,10491987,10491987,1,1,1,1,1,64297,36,3456,0.110592,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,14,0.2,10491987,10491987,1,1,1,1,1,64297,63,6048,0.193536,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,14,0.3,10491987,10491987,1,1,1,1,1,64297,81,7776,0.248832,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,15,0.05,10528212,10528212,1,1,1,1,1,64297,40,3840,0.12288,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,15,0.2,10528212,10528212,1,1,1,1,1,64297,70,6720,0.21504,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,15,0.3,10528212,10528212,1,1,1,1,1,64297,90,8640,0.27648,0.214996176167047,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,16,0.05,10495295,10495295,1,1,1,1,1,64297,36,3456,0.110592,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,16,0.2,10495295,10495295,1,1,1,1,1,64297,63,6048,0.193536,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,16,0.3,10495295,10495295,1,1,1,1,1,64297,81,7776,0.248832,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,17,0.05,10533336,10533336,1,1,1,1,1,64297,40,3840,0.12288,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,17,0.2,10533336,10533336,1,1,1,1,1,64297,70,6720,0.21504,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,17,0.3,10533336,10533336,1,1,1,1,1,64297,90,8640,0.27648,0.214996176167047,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,18,0.05,10498603,10498603,1,1,1,1,1,64297,36,3456,0.110592,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,18,0.2,10498603,10498603,1,1,1,1,1,64297,63,6048,0.193536,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,18,0.3,10498603,10498603,1,1,1,1,1,64297,81,7776,0.248832,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,19,0.05,10542762,10542762,1,1,1,1,1,64297,40,3840,0.12288,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,19,0.2,10542762,10542762,1,1,1,1,1,64297,70,6720,0.21504,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,19,0.3,10542762,10542762,1,1,1,1,1,64297,90,8640,0.27648,0.214996176167047,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,20,0.05,10507508,10507508,1,1,1,1,1,64297,40,3840,0.12288,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,20,0.2,10507508,10507508,1,1,1,1,1,64297,70,6720,0.21504,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,20,0.3,10507508,10507508,1,1,1,1,1,64297,90,8640,0.27648,0.161247132125285,1,1,1,1,0,0,0
20,complete-interference-upper-bound,1,0.05,11103848,11103848,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
20,complete-interference-upper-bound,1,0.2,11103848,11103848,1,1,1,1,1,64297,70,6720,0.21504,0.418048120324813,1,1,1,1,0,0,0
20,complete-interference-upper-bound,1,0.3,11103848,11103848,1,1,1,1,1,64297,90,8640,0.27648,0.537490440417617,1,1,1,1,0,0,0
20,complete-interference-upper-bound,2,0.05,11118878,11118878,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
20,complete-interference-upper-bound,2,0.2,11118878,11118878,1,1,1,1,1,64297,70,6720,0.21504,0.418048120324813,1,1,1,1,0,0,0
20,complete-interference-upper-bound,2,0.3,11118878,11118878,1,1,1,1,1,64297,90,8640,0.27648,0.537490440417617,1,1,1,1,0,0,0
20,complete-interference-upper-bound,3,0.05,11174284,11174284,1,1,1,1,1,64297,44,4224,0.135168,0.262773104204168,1,1,1,1,0,0,0
20,complete-interference-upper-bound,3,0.2,11174284,11174284,1,1,1,1,1,64297,77,7392,0.236544,0.459852932357294,1,1,1,1,0,0,0
20,complete-interference-upper-bound,3,0.3,11174284,11174284,1,1,1,1,1,64297,99,9504,0.304128,0.591239484459378,1,1,1,1,0,0,0
20,complete-interference-upper-bound,4,0.05,11080773,11080773,1,1,1,1,1,64297,36,3456,0.110592,0.214996176167047,1,1,1,1,0,0,0
20,complete-interference-upper-bound,4,0.2,11080773,11080773,1,1,1,1,1,64297,63,6048,0.193536,0.376243308292332,1,1,1,1,0,0,0
20,complete-interference-upper-bound,4,0.3,11080773,11080773,1,1,1,1,1,64297,81,7776,0.248832,0.483741396375855,1,1,1,1,0,0,0
20,complete-interference-upper-bound,5,0.05,11139673,11139673,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
20,complete-interference-upper-bound,5,0.2,11139673,11139673,1,1,1,1,1,64297,70,6720,0.21504,0.418048120324813,1,1,1,1,0,0,0
20,complete-interference-upper-bound,5,0.3,11139673,11139673,1,1,1,1,1,64297,90,8640,0.27648,0.537490440417617,1,1,1,1,0,0,0
20,complete-interference-upper-bound,6,0.05,11083661,11083661,1,1,1,1,1,64297,36,3456,0.110592,0.214996176167047,1,1,1,1,0,0,0
20,complete-interference-upper-bound,6,0.2,11083661,11083661,1,1,1,1,1,64297,63,6048,0.193536,0.376243308292332,1,1,1,1,0,0,0
20,complete-interference-upper-bound,6,0.3,11083661,11083661,1,1,1,1,1,64297,81,7776,0.248832,0.483741396375855,1,1,1,1,0,0,0
20,complete-interference-upper-bound,7,0.05,11144711,11144711,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
20,complete-interference-upper-bound,7,0.2,11144711,11144711,1,1,1,1,1,64297,70,6720,0.21504,0.418048120324813,1,1,1,1,0,0,0
20,complete-interference-upper-bound,7,0.3,11144711,11144711,1,1,1,1,1,64297,90,8640,0.27648,0.537490440417617,1,1,1,1,0,0,0
20,complete-interference-upper-bound,8,0.05,11086545,11086545,1,1,1,1,1,64297,36,3456,0.110592,0.214996176167047,1,1,1,1,0,0,0
20,complete-interference-upper-bound,8,0.2,11086545,11086545,1,1,1,1,1,64297,63,6048,0.193536,0.376243308292332,1,1,1,1,0,0,0
20,complete-interference-upper-bound,8,0.3,11086545,11086545,1,1,1,1,1,64297,81,7776,0.248832,0.483741396375855,1,1,1,1,0,0,0
20,complete-interference-upper-bound,9,0.05,11149751,11149751,1,1,1,1,1,64297,40,3840,0.12288,0.238884640185607,1,1,1,1,0,0,0
20,complete-interference-upper-bound,9,0.2,11149751,11149751,1,1,1,1,1,64297,70,6720,0.21504,0.418048120324813,1,1,1,1,0,0,0
20,complete-interference-upper-bound,9,0.3,11149751,11149751,1,1,1,1,1,64297,90,8640,0.27648,0.537490440417617,1,1,1,1,0,0,0
20,complete-interference-upper-bound,10,0.05,11089425,11089425,1,1,1,1,1,64297,36,3456,0.110592,0.214996176167047,1,1,1,1,0,0,0
20,complete-interference-upper-bound,10,0.2,11089425,11089425,1,1,1,1,1,64297,63,6048,0.193536,0.376243308292332,1,1,1,1,0,0,0
20,complete-interference-upper-bound,10,0.3,11089425,11089425,1,1,1,1,1,64297,81,7776,0.248832,0.483741396375855,1,1,1,1,0,0,0
