seed,controller,method,topology,N,scenario,RMSE,MINEVAL,NDATA,MISSION,SAFEFAIL
1,original,Causal-v3,sparse6,20,Stressed,0.355150392979023,0.24528938028238,63833,30,1
2,original,Causal-v3,sparse6,20,Stressed,0.35394255500863,0.239079150075763,63739,30,1
3,original,Causal-v3,sparse6,20,Stressed,0.352578811366995,0.246937400613762,63808,30,1
1,normalized,Causal-v3,sparse6,20,Stressed,0.204974459753774,0.376935913856141,64602,30,0
2,normalized,Causal-v3,sparse6,20,Stressed,0.204922298143829,0.375644573265244,64496,30,0
3,normalized,Causal-v3,sparse6,20,Stressed,0.204645641254057,0.379945434848051,64528,30,0
1,original,P10,geometric,20,Stressed,0.255257076185109,0.338785730719746,18000,30,0
2,original,P10,geometric,20,Stressed,0.256492861744411,0.331326952753331,18000,30,0
3,original,P10,geometric,20,Stressed,0.254565744624947,0.335856269979537,18000,30,0
1,normalized,P10,geometric,20,Stressed,0.231988156082021,0.363344002043539,18000,30,0
2,normalized,P10,geometric,20,Stressed,0.233845817054267,0.357544703941765,18000,30,0
3,normalized,P10,geometric,20,Stressed,0.231999495560838,0.358701327418633,18000,30,0
1,original,Causal-v3,geometric,20,Stressed,0.206192684586198,0.38603658802759,31505,30,0
2,original,Causal-v3,geometric,20,Stressed,0.207769580734164,0.382468899817472,31489,30,0
3,original,Causal-v3,geometric,20,Stressed,0.207445164668355,0.379271849723891,31518,30,0
1,normalized,Causal-v3,geometric,20,Stressed,0.188763299350958,0.404873293797102,31518,30,0
2,normalized,Causal-v3,geometric,20,Stressed,0.189243107594496,0.402313282430028,31501,30,0
3,normalized,Causal-v3,geometric,20,Stressed,0.188571948392047,0.400721649127281,31511,30,0
1,original,P10,ring2,50,Stressed,0.287136043801679,0.299552472758865,36900,30,0
2,original,P10,ring2,50,Stressed,0.288914658796576,0.305861930394424,36900,30,0
3,original,P10,ring2,50,Stressed,0.28731301034995,0.30426325801334,36900,30,0
1,normalized,P10,ring2,50,Stressed,0.287136043801679,0.299552472758865,36900,30,0
2,normalized,P10,ring2,50,Stressed,0.288914658796576,0.305861930394424,36900,30,0
3,normalized,P10,ring2,50,Stressed,0.28731301034995,0.30426325801334,36900,30,0
1,original,Causal-v3,ring2,50,Stressed,0.234714455408406,0.361656725966134,64191,30,0
2,original,Causal-v3,ring2,50,Stressed,0.235153186506557,0.352548849324689,64213,30,0
3,original,Causal-v3,ring2,50,Stressed,0.234541655869273,0.360432178469297,64189,30,0
1,normalized,Causal-v3,ring2,50,Stressed,0.234714455408406,0.361656725966134,64191,30,0
2,normalized,Causal-v3,ring2,50,Stressed,0.235153186506557,0.352548849324689,64213,30,0
3,normalized,Causal-v3,ring2,50,Stressed,0.234541655869273,0.360432178469297,64189,30,0
1,original,P10,sparse4,50,Stressed,0.456816507024652,0.201867461059426,66300,30,1
2,original,P10,sparse4,50,Stressed,0.455147671469836,0.203869915557791,66300,30,1
3,original,P10,sparse4,50,Stressed,0.455113137817869,0.198595528513143,66300,30,1
1,normalized,P10,sparse4,50,Stressed,0.30733200978794,0.296999391619408,66300,30,0
2,normalized,P10,sparse4,50,Stressed,0.305929724890387,0.299861958864464,66300,30,0
3,normalized,P10,sparse4,50,Stressed,0.306544305862235,0.303194389678579,66300,30,0
1,original,Causal-v3,sparse4,50,Stressed,0.377327748012527,0.281054678058761,112689,30,0
2,original,Causal-v3,sparse4,50,Stressed,0.377975358825528,0.27807459428427,112670,30,0
3,original,Causal-v3,sparse4,50,Stressed,0.377108108809495,0.277298827319891,112648,30,0
1,normalized,Causal-v3,sparse4,50,Stressed,0.249981306693136,0.358540372928113,114408,30,0
2,normalized,Causal-v3,sparse4,50,Stressed,0.250556559617357,0.355990307878576,114388,30,0
3,normalized,Causal-v3,sparse4,50,Stressed,0.250229389297168,0.363831135581515,114446,30,0
1,original,P10,sparse6,50,Stressed,0.552375928923159,0.159710473399696,95700,30,1
2,original,P10,sparse6,50,Stressed,0.553285320288115,0.153906521306079,95700,30,1
3,original,P10,sparse6,50,Stressed,0.553069229296861,0.160085563745157,95700,30,1
1,normalized,P10,sparse6,50,Stressed,0.289820620281512,0.3250957065113,95700,30,0
2,normalized,P10,sparse6,50,Stressed,0.290718746107972,0.318680547753701,95700,30,0
3,normalized,P10,sparse6,50,Stressed,0.290247980445099,0.324943381847885,95700,30,0
1,original,Causal-v3,sparse6,50,Stressed,0.468871058160944,0.230751244181761,157553,30,1
2,original,Causal-v3,sparse6,50,Stressed,0.468025200414918,0.22608450275352,158055,30,1
3,original,Causal-v3,sparse6,50,Stressed,0.467864538450461,0.228853083795777,157732,30,1
1,normalized,Causal-v3,sparse6,50,Stressed,0.23693402563082,0.373759806040958,164905,30,0
2,normalized,Causal-v3,sparse6,50,Stressed,0.23738549546663,0.376544946981207,164889,30,0
3,normalized,Causal-v3,sparse6,50,Stressed,0.23726514582066,0.377120613064556,164990,30,0
1,original,P10,geometric,50,Stressed,0.37322077469514,0.268861516281425,54300,30,0
2,original,P10,geometric,50,Stressed,0.373191408335206,0.261194750317981,54300,30,0
3,original,P10,geometric,50,Stressed,0.373225798795864,0.271591037620476,54300,30,0
1,normalized,P10,geometric,50,Stressed,0.294072651029788,0.323654813162666,54300,30,0
2,normalized,P10,geometric,50,Stressed,0.294245191404774,0.326589441044303,54300,30,0
3,normalized,P10,geometric,50,Stressed,0.294346028705102,0.335088730759776,54300,30,0
1,original,Causal-v3,geometric,50,Stressed,0.306236376761823,0.328578723417462,93554,30,0
2,original,Causal-v3,geometric,50,Stressed,0.305927567542572,0.329483356305211,93540,30,0
3,original,Causal-v3,geometric,50,Stressed,0.30685139101624,0.328303502553421,93476,30,0
1,normalized,Causal-v3,geometric,50,Stressed,0.240848252974021,0.381334693940977,93998,30,0
2,normalized,Causal-v3,geometric,50,Stressed,0.24061253935896,0.378501311244389,93935,30,0
3,normalized,Causal-v3,geometric,50,Stressed,0.239958218380646,0.381387683610691,93942,30,0
