cell,effect,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-background030,access_scaling_given_hybrid,access-only,frozen-hybrid,MEAN_TRUE_AOI,0.128135710337203,0.128135710337203,0,0,0,0,8,0,1
n5-background030,access_scaling_given_hybrid,access-only,frozen-hybrid,OFFERED_UTIL,0.712072916666627,0.712072916666627,0,0,0,0,8,0,1
n5-background030,access_scaling_given_hybrid,access-only,frozen-hybrid,CHANNEL_UTIL,0.752177083333353,0.752177083333353,0,0,0,0,8,0,1
n5-background030,access_scaling_given_hybrid,access-only,frozen-hybrid,COLLISION_FRAMES,1691.75,1691.75,0,0,0,0,8,0,1
n5-background030,access_scaling_given_hybrid,access-only,frozen-hybrid,DATA_ATTEMPTED,2081.375,2081.375,0,0,0,0,8,0,1
n5-background030,access_scaling_given_hybrid,access-only,frozen-hybrid,ACK_ATTEMPTED,176.125,176.125,0,0,0,0,8,0,1
n5-background030,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,RMSE,0.0889138310681796,0.0889138310681796,0,0,0,0,8,0,1
n5-background030,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,MEAN_TRUE_AOI,0.127976782752902,0.127976782752902,0,0,0,0,8,0,1
n5-background030,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,OFFERED_UTIL,0.712177083333292,0.712177083333292,0,0,0,0,8,0,1
n5-background030,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,CHANNEL_UTIL,0.747260416666689,0.747260416666689,0,0,0,0,8,0,1
n5-background030,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,COLLISION_FRAMES,1676.625,1676.625,0,0,0,0,8,0,1
n5-background030,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,DATA_ATTEMPTED,2129.875,2129.875,0,0,0,0,8,0,1
n5-background030,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,ACK_ATTEMPTED,14.625,14.625,0,0,0,0,8,0,1
n5-background030,adaptive_guard_given_scaled_access,full-v2,access-only,RMSE,0.0889138310681796,0.0906444624564583,-1.9092521940985,-0.00173063138827872,-0.00571444386024768,0.00225318108369023,8,0,1
n5-background030,adaptive_guard_given_scaled_access,full-v2,access-only,MEAN_TRUE_AOI,0.127976782752902,0.128135710337203,-0.124030673324888,-0.000158927584300876,-0.0073188545984065,0.00700099942980475,8,0,1
n5-background030,adaptive_guard_given_scaled_access,full-v2,access-only,OFFERED_UTIL,0.712177083333292,0.712072916666627,0.0146286516769441,0.000104166666665018,-0.0144576857967325,0.0146660191300626,8,0,1
n5-background030,adaptive_guard_given_scaled_access,full-v2,access-only,CHANNEL_UTIL,0.747260416666689,0.752177083333353,-0.653658131257477,-0.00491666666666388,-0.0120381472679193,0.00220481393459158,8,0,1
n5-background030,adaptive_guard_given_scaled_access,full-v2,access-only,COLLISION_FRAMES,1676.625,1691.75,-0.894044628343431,-15.125,-64.3467618790731,34.0967618790731,8,0,1
n5-background030,adaptive_guard_given_scaled_access,full-v2,access-only,DATA_ATTEMPTED,2129.875,2081.375,2.33019037895622,48.5,4.06150807788934,92.9384919221107,8,0,0
n5-background030,adaptive_guard_given_scaled_access,full-v2,access-only,ACK_ATTEMPTED,14.625,176.125,-91.6962384669979,-161.5,-177.343486661925,-145.656513338075,8,0,0
n5-background030,full_v2_vs_hybrid,full-v2,frozen-hybrid,RMSE,0.0889138310681796,0.0906444624564583,-1.9092521940985,-0.00173063138827872,-0.00571444386024768,0.00225318108369023,8,0,1
n5-background030,full_v2_vs_hybrid,full-v2,frozen-hybrid,MEAN_TRUE_AOI,0.127976782752902,0.128135710337203,-0.124030673324888,-0.000158927584300876,-0.0073188545984065,0.00700099942980475,8,0,1
n5-background030,full_v2_vs_hybrid,full-v2,frozen-hybrid,OFFERED_UTIL,0.712177083333292,0.712072916666627,0.0146286516769441,0.000104166666665018,-0.0144576857967325,0.0146660191300626,8,0,1
n5-background030,full_v2_vs_hybrid,full-v2,frozen-hybrid,CHANNEL_UTIL,0.747260416666689,0.752177083333353,-0.653658131257477,-0.00491666666666388,-0.0120381472679193,0.00220481393459158,8,0,1
n5-background030,full_v2_vs_hybrid,full-v2,frozen-hybrid,COLLISION_FRAMES,1676.625,1691.75,-0.894044628343431,-15.125,-64.3467618790731,34.0967618790731,8,0,1
n5-background030,full_v2_vs_hybrid,full-v2,frozen-hybrid,DATA_ATTEMPTED,2129.875,2081.375,2.33019037895622,48.5,4.06150807788934,92.9384919221107,8,0,0
n5-background030,full_v2_vs_hybrid,full-v2,frozen-hybrid,ACK_ATTEMPTED,14.625,176.125,-91.6962384669979,-161.5,-177.343486661925,-145.656513338075,8,0,0
n5-hidden,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,RMSE,0.058925412147772,0.0610123936592695,-3.42058618967229,-0.00208698151149746,-0.0051973928122071,0.00102342978921217,8,0,1
n5-hidden,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,MEAN_TRUE_AOI,0.0816721945826423,0.0842371475953565,-3.04491911933589,-0.0025649530127142,-0.00968672603380423,0.00455682000837584,8,0,1
n5-hidden,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,OFFERED_UTIL,0.482739583333318,0.499333333333315,-3.32318090787675,-0.0165937499999973,-0.058020383951217,0.0248328839512225,8,0,1
n5-hidden,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,CHANNEL_UTIL,0.376729166666651,0.38364583333332,-1.8028780885154,-0.00691666666666876,-0.0270463080676668,0.0132129747343293,8,0,1
n5-hidden,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,COLLISION_FRAMES,807.625,876.375,-7.84481529025817,-68.75,-214.83801369792,77.3380136979196,8,0,1
